"Name(ocultar)";"Futbolista_ID";"GK";"DL";"DC";"DR";"WBL";"WBR";"DM";"ML";"MC";"MR";"AML";"AMC";"AMR";"ST"
"Miguel Brizuela";"5187";"1";"17";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Joel Asoro";"5188";"1";"1";"1";"1";"1";"1";"1";"10";"1";"11";"17";"1";"20";"19"
"Janis Blaswich";"5189";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Dennis Jastrzembski";"5190";"1";"10";"1";"1";"15";"1";"1";"19";"1";"10";"20";"7";"12";"14"
"Jimmy Durmaz";"5191";"1";"1";"1";"1";"1";"1";"1";"15";"20";"15";"15";"18";"15";"1"
"Bongani Zungu";"5192";"1";"1";"1";"1";"1";"1";"17";"10";"20";"10";"1";"1";"1";"1"
"Jake Cooper";"5193";"1";"1";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Xavier Arreaga";"5194";"1";"10";"20";"10";"1";"1";"15";"1";"1";"1";"1";"1";"1";"1"
"Fredrik Jensen";"5195";"1";"1";"1";"1";"1";"1";"1";"15";"15";"13";"17";"20";"14";"16"
"Senousi El-Hadi";"5196";"1";"1";"1";"1";"1";"1";"1";"12";"1";"1";"20";"18";"1";"1"
"Lamine Koné";"5197";"1";"1";"20";"12";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Petar Filipović";"5198";"1";"14";"20";"10";"10";"8";"14";"10";"10";"1";"10";"1";"1";"5"
"Even Hovland";"5199";"1";"1";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Pablo Pérez";"5200";"1";"1";"1";"1";"1";"1";"10";"12";"20";"14";"1";"12";"1";"1"
"Niclas Eliasson";"5201";"1";"1";"1";"1";"1";"1";"1";"16";"1";"16";"20";"1";"19";"10"
"Radosław Majecki";"5202";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Andy";"5203";"1";"1";"5";"1";"1";"1";"20";"1";"19";"1";"1";"12";"1";"1"
"Edder Farías";"5204";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20"
"Iliya Gruev";"5205";"1";"1";"10";"1";"1";"1";"20";"12";"18";"12";"1";"10";"1";"1"
"Tomás Pozzo";"5206";"1";"1";"1";"1";"1";"1";"1";"1";"12";"1";"17";"20";"17";"1"
"Christopher Antwi-Adjei";"5207";"1";"1";"1";"1";"10";"1";"1";"20";"1";"16";"20";"10";"16";"10"
"Maxime Le Marchand";"5208";"1";"18";"20";"1";"10";"1";"12";"1";"1";"1";"1";"1";"1";"1"
"Robin Yalçın";"5209";"1";"1";"18";"18";"1";"13";"20";"1";"15";"10";"1";"1";"1";"1"
"Dimitris Kourbelis";"5210";"1";"1";"16";"1";"1";"1";"20";"1";"19";"1";"1";"1";"1";"1"
"Jason Knight";"5211";"1";"1";"1";"18";"1";"14";"13";"13";"20";"14";"13";"15";"14";"1"
"Jon Ander Serantes";"5212";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Janni Serra";"5213";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"10";"10";"20"
"Jandro Orellana";"5214";"1";"1";"1";"1";"1";"1";"20";"1";"20";"1";"1";"12";"1";"1"
"Christoph Zimmermann";"5215";"1";"8";"20";"12";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Johnny";"5216";"1";"1";"1";"1";"1";"1";"18";"1";"20";"1";"1";"17";"1";"10"
"Edu Campabadal";"5217";"1";"10";"13";"20";"7";"16";"12";"1";"1";"1";"1";"1";"1";"1"
"Mohammed Kamara";"5218";"1";"1";"1";"1";"1";"1";"1";"10";"1";"10";"15";"1";"16";"20"
"Mathieu Debuchy";"5219";"1";"11";"20";"19";"10";"17";"10";"1";"1";"10";"1";"1";"8";"1"
"Joshua Mees";"5220";"1";"1";"1";"1";"1";"1";"1";"13";"1";"13";"20";"10";"18";"17"
"Mikel Rico";"5221";"1";"1";"1";"1";"1";"1";"15";"1";"20";"1";"1";"15";"1";"1"
"Malcom Braida";"5222";"1";"1";"1";"1";"16";"1";"1";"18";"1";"12";"20";"10";"16";"1"
"Dereck Kutesa";"5223";"1";"1";"1";"1";"1";"1";"1";"18";"7";"15";"20";"10";"17";"4"
"Enzo Crivelli";"5224";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"13";"1";"1";"20"
"Lennart Thy";"5225";"1";"1";"1";"1";"5";"5";"1";"13";"1";"13";"15";"13";"15";"20"
"Peter Abrahamsson";"5226";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Dennis Srbeny";"5227";"1";"1";"1";"1";"1";"1";"1";"1";"13";"13";"1";"18";"14";"20"
"Berkay Özcan";"5228";"1";"1";"1";"1";"1";"1";"8";"15";"16";"1";"15";"20";"1";"10"
"Romell Quioto";"5229";"1";"1";"1";"1";"1";"1";"1";"12";"1";"12";"19";"1";"19";"20"
"Christian Mathenia";"5230";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Alexandros Paschalakis";"5231";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Raúl Carnero";"5232";"1";"20";"1";"1";"19";"1";"1";"10";"1";"1";"1";"1";"1";"1"
"Smail Prevljak";"5233";"1";"1";"1";"1";"1";"1";"1";"14";"10";"12";"12";"12";"15";"20"
"William Pacho";"5234";"1";"1";"20";"1";"1";"1";"12";"1";"1";"1";"1";"1";"1";"1"
"Mahdi Camara";"5235";"1";"1";"1";"1";"1";"1";"15";"1";"20";"1";"1";"1";"1";"1"
"Lewis Morgan";"5236";"1";"7";"1";"7";"11";"11";"1";"14";"10";"14";"20";"18";"16";"14"
"Jesús Dátolo";"5237";"1";"1";"1";"1";"1";"1";"8";"10";"20";"10";"12";"20";"12";"1"
"Vasilis Lampropoulos";"5238";"1";"10";"20";"16";"1";"7";"16";"1";"1";"1";"1";"1";"1";"1"
"Pelly-Ruddock Mpanzu";"5239";"1";"1";"1";"1";"1";"1";"15";"1";"20";"1";"1";"10";"1";"1"
"Jesús Imaz";"5240";"1";"1";"1";"1";"1";"1";"1";"10";"10";"10";"12";"20";"12";"20"
"Luca Ceppitelli";"5241";"1";"9";"20";"11";"1";"9";"1";"1";"1";"1";"1";"1";"1";"1"
"Diego Bejarano";"5242";"1";"12";"1";"20";"10";"17";"10";"1";"12";"14";"1";"1";"1";"1"
"Tristan Dingomé";"5243";"1";"10";"1";"1";"10";"1";"14";"14";"20";"14";"13";"18";"15";"1"
"Víctor Álvarez";"5244";"1";"20";"1";"1";"15";"1";"1";"12";"1";"1";"11";"1";"1";"1"
"Gideon Jung";"5245";"1";"1";"20";"1";"1";"1";"18";"1";"15";"1";"1";"1";"1";"1"
"Germán";"5246";"1";"5";"20";"8";"1";"1";"10";"1";"1";"1";"1";"1";"1";"1"
"Enzo Boyomo";"5247";"1";"1";"20";"15";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Vincent Sasso";"5248";"1";"5";"20";"15";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Mario Engels";"5249";"1";"1";"1";"1";"1";"1";"1";"14";"12";"14";"17";"17";"18";"20"
"Miloš Kosanović";"5250";"1";"13";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Sam McCallum";"5251";"1";"20";"1";"14";"20";"14";"1";"10";"1";"1";"1";"1";"1";"1"
"Matthieu Udol";"5252";"1";"20";"1";"14";"12";"10";"1";"10";"1";"1";"7";"1";"1";"1"
"Eom Won-Sang";"5253";"1";"1";"1";"1";"1";"1";"1";"1";"1";"15";"1";"1";"20";"13"
"Youssouf Koné";"5254";"1";"20";"1";"10";"20";"10";"1";"12";"1";"1";"12";"1";"1";"1"
"Umut Bozok";"5255";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"13";"13";"13";"20"
"Luca Itter";"5256";"1";"20";"1";"1";"20";"1";"14";"12";"14";"1";"12";"1";"1";"1"
"Philip Heise";"5257";"1";"20";"8";"12";"20";"12";"14";"14";"10";"10";"14";"1";"10";"1"
"José Francisco Cevallos";"5258";"1";"1";"1";"1";"1";"1";"1";"7";"15";"1";"7";"20";"1";"15"
"Sebastian Ernst";"5259";"1";"1";"1";"1";"1";"1";"14";"15";"18";"12";"15";"20";"14";"11"
"Raúl Castro";"5260";"1";"1";"1";"1";"1";"1";"15";"1";"20";"1";"1";"1";"1";"1"
"Gonzalo Castellani";"5261";"1";"1";"1";"1";"1";"1";"1";"15";"20";"15";"13";"15";"5";"1"
"Paweł Wszołek";"5262";"1";"1";"1";"7";"1";"13";"1";"5";"1";"20";"5";"1";"20";"1"
"Max Besuschkow";"5263";"1";"1";"1";"1";"1";"1";"15";"12";"20";"10";"12";"15";"10";"8"
"Alexandru Epureanu";"5264";"1";"1";"20";"10";"1";"1";"8";"1";"1";"1";"1";"1";"1";"1"
"Federico Girotti";"5265";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20"
"Muhammed Cham";"5266";"1";"1";"1";"1";"1";"1";"1";"11";"20";"17";"10";"20";"15";"1"
"Richard Strebinger";"5267";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Hong Hyun-Seok";"5268";"1";"1";"1";"1";"1";"1";"17";"1";"20";"1";"1";"1";"1";"1"
"Lukáš Štetina";"5269";"1";"5";"20";"1";"1";"1";"10";"1";"1";"1";"1";"1";"1";"1"
"Kenan Karaman";"5270";"1";"1";"1";"10";"1";"14";"1";"12";"1";"12";"17";"12";"16";"20"
"Damian Kądzior";"5271";"1";"1";"1";"1";"1";"1";"12";"10";"14";"19";"10";"13";"20";"10"
"Carlos Alcaraz";"5272";"1";"1";"1";"1";"1";"1";"1";"10";"20";"14";"13";"16";"14";"12"
"Jacob Une Larsson";"5273";"1";"6";"20";"10";"1";"7";"1";"1";"1";"1";"1";"1";"1";"1"
"Damian Szymański";"5274";"1";"1";"1";"1";"1";"1";"19";"1";"20";"1";"1";"10";"1";"1"
"Žiga Frelih";"5275";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Vid Belec";"5276";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Žan Celar";"5277";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"18";"1";"12";"20"
"Florian Krüger";"5278";"1";"1";"1";"1";"1";"1";"1";"14";"10";"12";"18";"12";"16";"20"
"Ryan Donk";"5279";"1";"1";"20";"1";"1";"1";"16";"1";"12";"1";"1";"1";"1";"8"
"Ognjen Vranješ";"5280";"1";"1";"20";"10";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Jack Whatmough";"5281";"1";"1";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Jens Grahl";"5282";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Gastón Hernández";"5283";"1";"1";"20";"12";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Garry Rodrigues";"5284";"1";"1";"1";"1";"1";"6";"1";"16";"1";"16";"20";"8";"19";"10"
"Michał Helik";"5285";"1";"1";"20";"12";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Njegoš Petrović";"5286";"1";"1";"1";"1";"1";"1";"17";"1";"20";"1";"1";"7";"1";"1"
"Jaba Kankava";"5287";"1";"1";"1";"1";"1";"1";"19";"1";"20";"1";"1";"1";"1";"1"
"Cenk Tosun";"5288";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"10";"1";"1";"20"
"Kristoffer Peterson";"5289";"1";"1";"1";"1";"1";"1";"1";"13";"12";"13";"20";"12";"17";"14"
"Ryan Babel";"5290";"1";"1";"1";"1";"1";"1";"1";"10";"1";"1";"20";"1";"13";"19"
"Hasan Ali Kaldırım";"5291";"1";"20";"1";"1";"18";"1";"1";"10";"5";"1";"1";"1";"1";"1"
"Kwadwo Duah";"5292";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"15";"15";"15";"20"
"Kike Márquez";"5293";"1";"1";"1";"1";"1";"1";"1";"1";"12";"1";"17";"20";"1";"16"
"Ilie Sánchez";"5294";"1";"1";"10";"1";"1";"1";"20";"1";"12";"1";"1";"1";"1";"1"
"Teenage Hadebe";"5295";"1";"13";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"James Jeggo";"5296";"1";"1";"1";"1";"1";"1";"19";"1";"20";"1";"1";"1";"1";"1"
"Bogdan Mykhaylichenko";"5297";"1";"20";"1";"15";"15";"10";"1";"10";"1";"1";"1";"1";"1";"1"
"Tommy Doyle";"5298";"1";"1";"1";"1";"1";"1";"15";"1";"20";"1";"1";"1";"1";"1"
"Artem Besedin";"5299";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"6";"9";"6";"20"
"Sam Greenwood";"5300";"1";"1";"1";"1";"1";"1";"4";"1";"17";"1";"15";"16";"16";"20"
"Ivan Petriak";"5301";"1";"1";"1";"4";"1";"5";"1";"14";"4";"13";"20";"10";"17";"10"
"Soufiane Bidaoui";"5302";"1";"1";"1";"1";"1";"1";"1";"14";"1";"10";"20";"1";"17";"1"
"Carney Chukwuemeka";"5303";"1";"1";"1";"1";"1";"1";"1";"1";"20";"1";"1";"18";"1";"1"
"Vladlen Yurchenko";"5304";"1";"1";"1";"1";"1";"1";"10";"1";"18";"1";"1";"20";"1";"1"
"Roman Bezus";"5305";"1";"1";"1";"1";"1";"1";"10";"1";"15";"8";"1";"20";"12";"14"
"Serhiy Kryvtsov";"5306";"1";"1";"20";"10";"1";"1";"13";"1";"1";"1";"1";"1";"1";"1"
"Sergio Tejera";"5307";"1";"1";"1";"1";"1";"1";"16";"12";"20";"5";"8";"18";"1";"1"
"Troy Deeney";"5308";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"9";"14";"10";"20"
"Artem Hromov";"5309";"1";"1";"1";"1";"1";"1";"1";"1";"1";"10";"19";"20";"17";"15"
"Barry Bannan";"5310";"1";"5";"1";"1";"1";"1";"17";"14";"20";"14";"10";"10";"1";"1"
"Denys Harmash";"5311";"1";"1";"1";"1";"1";"1";"14";"12";"17";"10";"12";"19";"6";"20"
"Dale Stephens";"5312";"1";"1";"1";"1";"1";"1";"18";"4";"20";"4";"1";"11";"1";"1"
"Yaroslav Rakitskyi";"5313";"1";"8";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Fatih Aksoy";"5314";"1";"1";"20";"15";"1";"1";"20";"1";"1";"1";"1";"1";"1";"1"
"Tayyip Talha Sanuç";"5315";"1";"1";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Ersin Destanoğlu";"5316";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Simon Moore";"5317";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Vitaliy Lisakovich";"5318";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"15";"13";"14";"20"
"Dieumerci Mbokani";"5319";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"10";"1";"1";"20"
"Vasyl Kravets";"5320";"1";"20";"15";"1";"19";"1";"1";"12";"1";"1";"12";"1";"1";"1"
"Eren Elmalı";"5321";"1";"20";"1";"12";"16";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Ömer Ali Şahiner";"5322";"1";"5";"1";"20";"1";"16";"4";"15";"12";"16";"15";"12";"15";"12"
"Jacopo Sala";"5323";"1";"12";"1";"20";"10";"20";"1";"1";"14";"18";"1";"1";"1";"1"
"Mark Gillespie";"5324";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Luke Freeman";"5325";"1";"1";"1";"1";"9";"1";"1";"18";"17";"16";"18";"20";"16";"1"
"Loïck Landre";"5326";"1";"8";"20";"16";"8";"10";"12";"1";"1";"1";"1";"1";"1";"1"
"Youssouf Ndayishimiye";"5327";"1";"1";"20";"1";"1";"1";"18";"1";"14";"9";"1";"10";"9";"1"
"Liam Moore";"5328";"1";"5";"20";"14";"1";"12";"10";"1";"1";"1";"1";"1";"1";"1"
"İrfan Eğribayat";"5329";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Valeriy Bondar";"5330";"1";"1";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Birger Verstraete";"5331";"1";"1";"1";"1";"1";"1";"17";"1";"20";"1";"1";"1";"1";"1"
"Houboulang Mendes";"5332";"1";"1";"20";"19";"1";"16";"1";"1";"1";"1";"1";"1";"1";"1"
"Etienne Green";"5333";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Rayane Aabid";"5334";"1";"1";"1";"1";"1";"1";"15";"11";"20";"11";"12";"13";"13";"7"
"Idrissa Doumbia";"5335";"1";"1";"1";"1";"1";"1";"20";"1";"17";"1";"1";"13";"1";"7"
"Taher Mohamed";"5336";"1";"1";"1";"1";"1";"1";"1";"12";"12";"1";"20";"15";"17";"8"
"Lilian Brassier";"5337";"1";"15";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Bruno Miranda";"5338";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"14";"1";"8";"20"
"Pablo Aránguiz";"5339";"1";"1";"1";"1";"1";"1";"1";"1";"16";"1";"20";"16";"18";"12"
"Paolo Fernandes";"5340";"1";"1";"1";"1";"1";"1";"1";"14";"14";"14";"16";"17";"20";"1"
"Angelo Sagal";"5341";"1";"10";"1";"1";"12";"1";"1";"15";"1";"1";"20";"11";"13";"13"
"Brayan Cortés";"5342";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Othmane Boussaid";"5343";"1";"1";"1";"1";"1";"1";"1";"16";"15";"12";"20";"17";"13";"14"
"Hugo Cuypers";"5344";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"10";"11";"12";"20"
"Siebe Van der Heyden";"5345";"1";"14";"20";"1";"1";"1";"19";"1";"1";"1";"1";"1";"1";"1"
"Joan González";"5346";"1";"1";"10";"1";"1";"1";"19";"1";"20";"1";"1";"14";"1";"1"
"Junior Fernandes";"5347";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20";"1";"16";"16"
"Vladyslav Dubinchak";"5348";"1";"20";"3";"10";"18";"8";"1";"14";"1";"1";"10";"1";"1";"1"
"Maxime Crépeau";"5349";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Diego Fagúndez";"5350";"1";"1";"1";"1";"1";"1";"1";"15";"15";"16";"19";"19";"20";"12"
"Matt Hedges";"5351";"1";"1";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Will Smallbone";"5352";"1";"1";"1";"1";"1";"1";"1";"1";"18";"1";"12";"20";"12";"1"
"Justen Glad";"5353";"1";"11";"20";"13";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Oleksandr Syrota";"5354";"1";"6";"20";"1";"4";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Cyle Larin";"5355";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"18";"1";"15";"20"
"Nick Lima";"5356";"1";"19";"10";"20";"17";"19";"9";"9";"9";"10";"7";"1";"7";"1"
"Djordje Mihailović";"5357";"1";"1";"1";"1";"1";"1";"1";"10";"20";"12";"10";"20";"12";"7"
"James Sands";"5358";"1";"10";"20";"12";"1";"10";"20";"1";"15";"1";"1";"1";"1";"1"
"Tajon Buchanan";"5359";"1";"1";"1";"1";"1";"12";"1";"13";"1";"16";"17";"1";"20";"11"
"Franco Di Santo";"5360";"1";"1";"1";"1";"1";"1";"1";"13";"1";"12";"13";"15";"12";"20"
"Josh Maja";"5361";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20"
"Tyrese Campbell";"5362";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"12";"1";"15";"20"
"Burak Bekaroğlu";"5363";"1";"1";"20";"1";"1";"1";"7";"1";"1";"1";"1";"1";"1";"1"
"Ola Kamara";"5364";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"18";"15";"16";"20"
"Emre Akbaba";"5365";"1";"1";"1";"1";"1";"1";"1";"10";"14";"8";"12";"20";"14";"17"
"Ifeanyi Mathew";"5366";"1";"1";"1";"1";"1";"1";"18";"10";"20";"13";"1";"13";"1";"1"
"Nicolás Silva";"5367";"1";"1";"1";"1";"1";"1";"1";"12";"1";"15";"15";"14";"20";"13"
"Brian Mansilla";"5368";"1";"1";"1";"1";"10";"1";"1";"12";"1";"1";"18";"1";"14";"20"
"Lucas Suárez";"5369";"1";"19";"20";"1";"13";"1";"10";"1";"1";"1";"1";"1";"1";"1"
"Nicolás Stefanelli";"5370";"1";"1";"1";"1";"1";"1";"1";"17";"1";"15";"17";"15";"15";"20"
"Maciej Rybus";"5371";"1";"20";"7";"13";"15";"10";"1";"15";"1";"10";"13";"1";"9";"1"
"Rúben Ribeiro";"5372";"1";"1";"1";"1";"1";"1";"20";"13";"20";"14";"15";"14";"14";"1"
"Gökhan Akkan";"5373";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Nélson Oliveira";"5374";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20"
"Muhammet Demir";"5375";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"11";"12";"1";"20"
"Güray Vural";"5376";"1";"18";"1";"1";"16";"1";"1";"20";"12";"16";"18";"8";"16";"1"
"Mert Günok";"5377";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Mario Gavranović";"5378";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"9";"14";"8";"20"
"Héldon";"5379";"1";"1";"1";"1";"1";"1";"1";"13";"1";"14";"20";"7";"19";"7"
"Fredy";"5380";"1";"1";"1";"1";"1";"1";"1";"14";"20";"14";"16";"18";"16";"1"
"Admir Mehmedi";"5381";"1";"1";"1";"1";"1";"10";"1";"10";"8";"12";"18";"20";"18";"18"
"Favio Álvarez";"5382";"1";"1";"1";"1";"1";"1";"1";"13";"15";"10";"18";"20";"18";"7"
"Juan Fernando Caicedo";"5383";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20"
"Federico Lanzillota";"5384";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Axel Werner";"5385";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Jung Woo-Young";"5386";"1";"1";"17";"1";"1";"1";"18";"1";"20";"1";"1";"1";"1";"1"
"Fernando Andrade";"5387";"1";"1";"1";"1";"1";"1";"1";"12";"1";"12";"20";"1";"16";"15"
"Yôsuke Ideguchi";"5388";"1";"1";"1";"1";"1";"1";"18";"1";"20";"1";"1";"12";"1";"1"
"Alexis Claude-Maurice";"5389";"1";"1";"1";"1";"1";"1";"1";"17";"16";"12";"20";"18";"15";"12"
"Felipe Pardo";"5390";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"16";"1";"20";"14"
"Arvydas Novikovas";"5391";"1";"1";"1";"1";"1";"1";"1";"1";"1";"12";"18";"1";"20";"10"
"Agustín Giay";"5392";"1";"1";"1";"18";"1";"20";"1";"1";"16";"1";"1";"1";"1";"1"
"Mika Mármol";"5393";"1";"19";"20";"1";"14";"1";"1";"9";"1";"1";"1";"1";"1";"1"
"Tomané";"5394";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20"
"Daniel Sundgren";"5395";"1";"10";"16";"20";"10";"16";"10";"1";"1";"10";"1";"1";"1";"1"
"Emiliano Amor";"5396";"1";"1";"20";"10";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Ayase Ueda";"5397";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20"
"Bonke Innocent";"5398";"1";"1";"8";"8";"1";"1";"20";"1";"18";"1";"1";"1";"1";"1"
"Yusuf Erdoğan";"5399";"1";"8";"1";"1";"12";"1";"1";"16";"1";"16";"18";"1";"20";"1"
"Quentin Boisgard";"5400";"1";"1";"1";"1";"1";"1";"1";"15";"17";"15";"18";"20";"16";"10"
"Sean McDermott";"5401";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Valon Berisha";"5402";"1";"1";"1";"1";"1";"1";"1";"17";"20";"12";"17";"18";"12";"10"
"Zaydou Youssouf";"5403";"1";"1";"1";"1";"1";"1";"12";"1";"20";"1";"1";"15";"13";"1"
"Taylan Antalyalı";"5404";"1";"1";"5";"1";"1";"1";"18";"1";"20";"1";"1";"12";"1";"10"
"Amahl Pellegrino";"5405";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20";"13";"15";"16"
"Soner Dikmen";"5406";"1";"1";"8";"12";"1";"1";"20";"1";"16";"1";"1";"12";"1";"1"
"Okan Kocuk";"5407";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Lars Sætra";"5408";"1";"1";"20";"8";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Markus Henriksen";"5409";"1";"1";"20";"1";"1";"1";"18";"1";"19";"1";"1";"14";"1";"1"
"Rafik Guitane";"5410";"1";"1";"1";"1";"1";"1";"1";"1";"18";"1";"12";"20";"18";"1"
"Ruben Gabrielsen";"5411";"1";"1";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Vegar Hedenstad";"5412";"1";"12";"1";"20";"10";"19";"1";"1";"1";"1";"1";"1";"1";"1"
"Samet Akaydin";"5413";"1";"1";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Stefan Johansen";"5414";"1";"1";"1";"1";"1";"1";"18";"10";"20";"10";"10";"15";"10";"1"
"Jonatan Tollås Nation";"5415";"1";"1";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Sacha Boey";"5416";"1";"10";"1";"20";"1";"14";"1";"1";"1";"10";"1";"1";"1";"1"
"Elba Rashani";"5417";"1";"1";"1";"1";"1";"1";"1";"17";"5";"15";"20";"10";"17";"6"
"Fernando Torrent";"5418";"1";"1";"1";"20";"1";"18";"1";"1";"1";"18";"1";"1";"14";"1"
"Petter Strand";"5419";"1";"6";"1";"10";"7";"11";"13";"8";"20";"12";"1";"1";"1";"1"
"Ivan Näsberg";"5420";"1";"10";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Anders Trondsen";"5421";"1";"18";"1";"1";"1";"1";"12";"12";"20";"1";"1";"1";"1";"1"
"Guido Mainero";"5422";"1";"1";"1";"1";"1";"10";"1";"16";"1";"17";"20";"1";"19";"10"
"Marius Lode";"5423";"1";"10";"20";"15";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Andreas Vindheim";"5424";"1";"10";"1";"20";"10";"19";"1";"1";"1";"15";"1";"1";"5";"1"
"Abdülkerim Bardakcı";"5425";"1";"14";"20";"1";"1";"1";"10";"1";"1";"1";"1";"1";"1";"1"
"Daouda Bamba";"5426";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"15";"1";"15";"20"
"Moryké Fofana";"5427";"1";"1";"1";"1";"1";"1";"1";"13";"1";"10";"20";"1";"15";"1"
"Zymer Bytyqi";"5428";"1";"1";"1";"1";"1";"1";"1";"15";"7";"15";"20";"12";"20";"13"
