"Name(ocultar)";"Futbolista_ID";"Rendimiento en partidos importantes";"Lesiones";"Diversidad";"Adaptabilidad";"Ambición";"Razonamiento";"Lealtad";"Resistencia al estres";"Profesionalidad";"Deportividad";"Control emocional"
"Harold Moukoudi";"3312";"14";"10";"10";"12";"15";"12";"12";"12";"13";"9";"10"
"Serhiy Sydorchuk";"3313";"14";"8";"6";"14";"14";"7";"16";"14";"15";"14";"9"
"Fede Vico";"3314";"14";"14";"17";"2";"14";"5";"18";"11";"13";"14";"15"
"Antonio Raíllo";"3315";"4";"13";"16";"7";"13";"5";"9";"12";"12";"11";"17"
"Patrick van Aanholt";"3316";"10";"7";"10";"15";"15";"5";"12";"13";"10";"15";"15"
"Braian Romero";"3317";"13";"8";"15";"8";"10";"5";"12";"10";"14";"13";"11"
"José Devecchi";"3318";"11";"5";"13";"7";"12";"7";"8";"8";"11";"14";"18"
"Timothy Chandler";"3319";"13";"10";"15";"10";"12";"6";"10";"11";"14";"13";"11"
"Juan Fernando Quintero";"3320";"14";"11";"8";"8";"15";"3";"12";"10";"10";"12";"11"
"Dimitris Pelkas";"3321";"10";"5";"10";"13";"14";"8";"15";"12";"15";"13";"14"
"Ángel Montoro";"3322";"10";"14";"13";"20";"13";"5";"12";"14";"15";"12";"19"
"Chema";"3323";"12";"8";"7";"13";"14";"6";"14";"14";"14";"14";"13"
"Nenê";"3324";"13";"7";"14";"15";"16";"14";"10";"14";"13";"8";"8"
"Ricardo Centurión";"3325";"13";"14";"14";"7";"10";"18";"6";"11";"2";"8";"8"
"Hwang Ui-Jo";"3326";"12";"5";"12";"9";"15";"6";"11";"10";"14";"13";"13"
"Carlos Auzqui";"3327";"10";"5";"13";"8";"14";"5";"15";"11";"15";"14";"12"
"Jesus Ferreira";"3328";"10";"12";"9";"11";"12";"8";"9";"11";"12";"10";"16"
"Daniel Ginczek";"3329";"13";"16";"5";"10";"12";"8";"10";"12";"12";"10";"8"
"Juan Pablo Segovia";"3330";"10";"8";"10";"13";"11";"7";"12";"11";"11";"10";"13"
"Joe Scally";"3331";"11";"4";"16";"18";"14";"7";"12";"12";"16";"10";"10"
"Nelson Acevedo";"3332";"9";"6";"13";"8";"8";"10";"10";"8";"13";"10";"7"
"Junior Sambia";"3333";"13";"10";"14";"5";"12";"9";"11";"13";"10";"14";"13"
"Kevin Behrens";"3334";"10";"6";"14";"6";"12";"10";"10";"12";"11";"12";"10"
"Pêpê";"3335";"13";"6";"13";"7";"13";"6";"15";"12";"16";"14";"15"
"Rhys Healey";"3336";"8";"8";"10";"11";"15";"8";"8";"9";"10";"8";"12"
"Sada Thioub";"3337";"12";"6";"11";"15";"14";"9";"10";"14";"12";"11";"13"
"Pietro Pellegri";"3338";"13";"16";"11";"10";"16";"8";"12";"11";"13";"14";"11"
"Landry Dimata";"3339";"13";"5";"9";"9";"15";"10";"7";"13";"12";"10";"12"
"Nick Viergever";"3340";"14";"6";"15";"11";"16";"6";"8";"12";"15";"14";"12"
"Marcelo Díaz";"3341";"18";"4";"12";"6";"10";"9";"16";"18";"14";"12";"14"
"Iván Marcone";"3342";"11";"11";"9";"10";"14";"9";"13";"14";"15";"13";"9"
"César Pinares";"3343";"8";"8";"13";"7";"10";"8";"11";"9";"10";"13";"12"
"Felipe Gutiérrez";"3344";"8";"11";"14";"13";"12";"6";"14";"14";"15";"14";"14"
"Enzo Roco";"3345";"10";"4";"8";"12";"13";"8";"13";"12";"13";"11";"11"
"Kelvin Yeboah";"3346";"10";"4";"11";"14";"14";"5";"12";"13";"14";"7";"15"
"Alfred N'Diaye";"3347";"13";"5";"12";"14";"15";"12";"8";"11";"12";"14";"10"
"Nordin Amrabat";"3348";"11";"7";"10";"13";"15";"13";"9";"12";"15";"10";"10"
"Sebastian Polter";"3349";"14";"3";"6";"13";"15";"16";"7";"15";"8";"6";"8"
"Niklas Moisander";"3350";"15";"17";"9";"14";"10";"5";"12";"15";"17";"15";"10"
"Andile Jali";"3351";"13";"4";"10";"11";"18";"3";"18";"12";"7";"8";"9"
"Florian Tardieu";"3352";"13";"7";"6";"11";"13";"7";"14";"13";"12";"12";"11"
"Farid Boulaya";"3353";"12";"14";"12";"10";"14";"8";"10";"8";"12";"7";"12"
"Sean Johnson";"3354";"11";"7";"10";"14";"16";"8";"12";"12";"15";"13";"17"
"Yehor Nazaryna";"3355";"12";"8";"11";"11";"11";"6";"11";"12";"13";"13";"11"
"Larry Vásquez";"3356";"9";"8";"10";"19";"10";"11";"10";"11";"13";"11";"12"
"Darlington Nagbe";"3357";"16";"7";"11";"15";"9";"5";"12";"11";"13";"10";"10"
"Damir Kreilach";"3358";"14";"7";"10";"14";"10";"8";"14";"12";"16";"11";"10"
"Alexander Kačaniklić";"3359";"12";"9";"10";"12";"10";"9";"9";"12";"13";"16";"16"
"DeAndre Yedlin";"3360";"11";"5";"10";"8";"15";"5";"10";"10";"12";"12";"13"
"Benjamín Garré";"3361";"10";"13";"10";"8";"11";"9";"8";"10";"10";"9";"9"
"Arijanet Murić";"3362";"9";"5";"10";"15";"9";"13";"12";"13";"16";"16";"10"
"Philipp Hofmann";"3363";"14";"5";"4";"11";"14";"6";"10";"14";"12";"15";"15"
"David Braz";"3364";"12";"11";"8";"7";"12";"5";"13";"8";"15";"14";"15"
"Mattia Caldara";"3365";"12";"16";"10";"12";"15";"3";"11";"12";"18";"16";"14"
"Khama Billiat";"3366";"14";"8";"11";"13";"15";"9";"9";"8";"11";"12";"11"
"Cristian Roldan";"3367";"10";"10";"18";"14";"10";"6";"13";"11";"12";"14";"9"
"Łukasz Piszczek";"3368";"17";"10";"18";"15";"12";"4";"18";"15";"18";"16";"18"
"Jeremy Dudziak";"3369";"12";"13";"18";"7";"14";"14";"6";"16";"9";"13";"10"
"Felipe Aguilar";"3370";"12";"13";"12";"19";"12";"11";"13";"11";"12";"12";"13"
"Ivo Rodrigues";"3371";"7";"10";"10";"8";"13";"11";"13";"11";"10";"10";"11"
"Sokratis Papastathopoulos";"3372";"14";"11";"13";"14";"14";"13";"10";"13";"17";"11";"9"
"Víctor Salazar";"3373";"9";"11";"12";"15";"11";"9";"11";"9";"14";"12";"9"
"Walter Montoya";"3374";"11";"9";"13";"11";"13";"9";"11";"10";"11";"12";"11"
"Fernando Valenzuela";"3375";"10";"11";"10";"10";"10";"14";"14";"13";"9";"10";"11"
"Håkon Evjen";"3376";"7";"5";"13";"14";"13";"4";"12";"10";"15";"13";"17"
"Ertaç Özbir";"3377";"16";"12";"13";"5";"14";"11";"15";"10";"15";"16";"9"
"Íñigo Ruiz de Galarreta";"3378";"12";"10";"10";"11";"14";"4";"14";"10";"15";"14";"16"
"Javier García";"3379";"9";"12";"13";"11";"12";"14";"14";"6";"12";"12";"16"
"Guillermo Acosta";"3380";"11";"8";"18";"8";"10";"7";"13";"12";"17";"12";"9"
"Sebastián Prediger";"3381";"13";"8";"6";"13";"12";"11";"13";"15";"13";"13";"12"
"Sebastian Andersson";"3382";"13";"18";"5";"10";"12";"7";"10";"13";"15";"14";"17"
"Enzo Ebosse";"3383";"10";"8";"12";"16";"11";"7";"9";"7";"9";"11";"17"
"Sivert Mannsverk";"3384";"13";"6";"11";"14";"17";"8";"13";"14";"15";"15";"14"
"Petros Mantalos";"3385";"11";"8";"10";"18";"12";"6";"16";"10";"16";"12";"11"
"Matías Tissera";"3386";"10";"7";"8";"10";"11";"6";"12";"11";"12";"10";"16"
"Bruma";"3387";"12";"12";"13";"9";"17";"14";"7";"12";"12";"14";"10"
"Daniel Bocanegra";"3388";"13";"12";"10";"13";"11";"11";"13";"12";"12";"13";"10"
"Ignacio Scocco";"3389";"15";"17";"14";"11";"11";"11";"14";"16";"13";"16";"10"
"Stefano Okaka";"3390";"13";"13";"8";"12";"12";"14";"12";"14";"12";"12";"9"
"Juankar";"3391";"13";"12";"8";"16";"13";"8";"16";"13";"13";"12";"9"
"Fredrik Bjørkan";"3392";"13";"4";"12";"8";"15";"1";"14";"12";"17";"13";"12"
"Visar Musliu";"3393";"12";"10";"13";"16";"12";"3";"12";"6";"16";"13";"17"
"Camilo Sanvezzo";"3394";"13";"14";"11";"15";"6";"11";"7";"11";"12";"8";"15"
"Daniel Mancini";"3395";"12";"3";"15";"10";"12";"6";"13";"10";"14";"8";"9"
"Eric Remedi";"3396";"9";"12";"16";"13";"13";"6";"9";"11";"15";"13";"13"
"Emanuel Coronel";"3397";"11";"5";"8";"10";"12";"5";"11";"9";"11";"12";"13"
"August Mikkelsen";"3398";"11";"7";"13";"12";"15";"6";"12";"14";"13";"15";"9"
"Pape Cissé";"3399";"13";"8";"12";"13";"15";"12";"12";"11";"15";"8";"7"
"Fernando Gaibor";"3400";"8";"5";"13";"7";"15";"7";"15";"8";"10";"15";"15"
"Emmanuel Mas";"3401";"10";"6";"12";"20";"15";"7";"17";"7";"19";"17";"14"
"Erik Morán";"3402";"14";"7";"9";"9";"12";"5";"16";"10";"16";"12";"15"
"Sebastián Prieto";"3403";"11";"8";"12";"13";"7";"11";"12";"7";"12";"8";"8"
"Pedro Mendes";"3404";"12";"12";"10";"12";"16";"12";"14";"9";"13";"10";"6"
"Souleyman Doumbia";"3405";"12";"2";"13";"12";"12";"8";"9";"8";"12";"10";"12"
"José Mari";"3406";"13";"14";"10";"8";"13";"7";"13";"11";"17";"11";"13"
"Efecan Karaca";"3407";"14";"5";"15";"7";"14";"4";"14";"10";"18";"10";"10"
"Carlos Gruezo";"3408";"11";"7";"17";"13";"15";"9";"10";"13";"12";"10";"8"
"Marc Mateu";"3409";"12";"6";"8";"12";"14";"12";"15";"15";"15";"12";"10"
"Florian Sotoca";"3410";"14";"7";"11";"12";"13";"8";"14";"13";"12";"14";"14"
"Issam Chebake";"3411";"12";"7";"10";"13";"14";"10";"18";"13";"13";"10";"8"
"Mikel Villanueva";"3412";"14";"11";"13";"12";"15";"5";"13";"8";"14";"14";"16"
"Mahmut Tekdemir";"3413";"12";"6";"16";"15";"12";"3";"20";"11";"17";"12";"10"
"Atiba Hutchinson";"3414";"16";"6";"14";"18";"15";"2";"18";"18";"20";"18";"18"
"Serdar Aziz";"3415";"15";"16";"7";"10";"14";"10";"14";"14";"14";"7";"12"
"Rómulo Otero";"3416";"11";"14";"13";"13";"13";"13";"12";"16";"8";"10";"10"
"Cláudio Ramos";"3417";"12";"3";"11";"13";"12";"5";"16";"12";"16";"15";"16"
"Nicolás Fernández";"3418";"12";"5";"13";"11";"13";"10";"13";"10";"10";"10";"15"
"Victor Boniface";"3419";"10";"16";"10";"14";"13";"5";"10";"10";"13";"12";"19"
"Henrik Bjørdal";"3420";"14";"8";"13";"17";"15";"6";"12";"13";"14";"12";"13"
"Alexis Blin";"3421";"10";"7";"10";"18";"14";"6";"13";"12";"14";"13";"12"
"Irvin Cardona";"3422";"13";"7";"12";"12";"14";"7";"12";"12";"13";"12";"13"
"Kostas Fortounis";"3423";"12";"12";"6";"9";"12";"8";"16";"13";"10";"8";"14"
"Diego Coppola";"3424";"13";"6";"12";"15";"15";"8";"13";"15";"14";"12";"13"
"Facundo Altamirano";"3425";"9";"6";"1";"9";"9";"5";"10";"12";"10";"10";"13"
"Miguel Barbieri";"3426";"15";"9";"9";"13";"13";"7";"13";"11";"14";"10";"16"
"Pape Gueye";"3427";"10";"12";"9";"13";"15";"13";"7";"8";"7";"11";"10"
"Mert Yandaş";"3428";"13";"14";"15";"13";"16";"13";"10";"16";"12";"13";"13"
"Christian Bernardi";"3429";"8";"13";"16";"12";"11";"6";"13";"7";"10";"13";"12"
"Amar Dedić";"3430";"6";"9";"9";"15";"15";"2";"11";"11";"10";"8";"9"
"Kieffer Moore";"3431";"14";"8";"13";"14";"15";"4";"12";"15";"13";"13";"13"
"Mark Travers";"3432";"12";"9";"12";"10";"10";"6";"15";"13";"14";"12";"12"
"Dorukhan Toköz";"3433";"12";"8";"17";"20";"18";"7";"12";"14";"16";"13";"10"
"Kostas Stafylidis";"3434";"12";"11";"10";"13";"15";"8";"12";"16";"12";"11";"8"
"Marco Pérez";"3435";"13";"9";"9";"7";"12";"9";"8";"11";"11";"12";"12"
"Bafétimbi Gomis";"3436";"10";"6";"5";"13";"17";"10";"14";"12";"18";"17";"17"
"Abdülkadir Ömür";"3437";"14";"12";"15";"19";"15";"11";"18";"13";"13";"18";"12"
"Kian Hansen";"3438";"14";"14";"15";"7";"14";"4";"15";"13";"13";"13";"12"
"Berat Özdemir";"3439";"14";"5";"12";"14";"16";"7";"13";"13";"15";"13";"13"
"Juan Camilo Angulo";"3440";"11";"6";"11";"12";"13";"14";"13";"11";"12";"11";"11"
"Yunus Akgün";"3441";"13";"10";"10";"15";"16";"8";"12";"12";"14";"14";"14"
"Walter Bou";"3442";"13";"6";"10";"11";"13";"3";"14";"13";"15";"16";"13"
"Manolis Siopis";"3443";"13";"5";"12";"10";"13";"6";"12";"12";"16";"12";"13"
"Pablo Torre";"3444";"15";"5";"8";"13";"12";"6";"20";"14";"16";"15";"16"
"Franco Vázquez";"3445";"15";"5";"15";"12";"14";"3";"13";"14";"16";"15";"10"
"Maya Yoshida";"3446";"16";"4";"12";"16";"16";"3";"12";"15";"18";"15";"13"
"Martín Montoya";"3447";"13";"12";"10";"12";"11";"10";"12";"11";"13";"13";"13"
"Keita Endô";"3448";"8";"6";"10";"12";"15";"3";"13";"10";"14";"14";"10"
"Fran Sol";"3449";"12";"8";"10";"14";"14";"8";"10";"11";"15";"12";"13"
"Mauro Boselli";"3450";"14";"12";"4";"7";"13";"3";"15";"14";"15";"8";"16"
"Takahiro Kunimoto";"3451";"11";"9";"14";"13";"15";"8";"11";"10";"9";"9";"10"
"Boli";"3452";"13";"6";"12";"13";"13";"10";"12";"7";"8";"12";"14"
"Caio Lucas";"3453";"10";"5";"11";"10";"13";"12";"7";"9";"12";"7";"13"
"Hayao Kawabe";"3454";"8";"8";"17";"7";"12";"6";"12";"10";"14";"10";"11"
"Ronaël Pierre-Gabriel";"3455";"12";"10";"15";"11";"12";"10";"8";"11";"11";"10";"10"
"Salih Uçan";"3456";"10";"8";"12";"14";"13";"2";"13";"14";"7";"14";"13"
"Oier Sanjurjo";"3457";"11";"11";"12";"16";"13";"6";"19";"16";"18";"11";"10"
"Alejandro Maciel";"3458";"11";"10";"7";"12";"11";"7";"10";"13";"12";"10";"13"
"Mathieu Cafaro";"3459";"12";"6";"13";"12";"15";"12";"12";"10";"12";"12";"10"
"Fredrik Ulvestad";"3460";"15";"7";"13";"12";"13";"8";"13";"12";"15";"13";"14"
"Yûya Kubo";"3461";"8";"10";"15";"13";"16";"3";"12";"8";"15";"13";"17"
"Juanfran";"3462";"12";"5";"17";"12";"14";"7";"13";"10";"15";"15";"8"
"Jonas Svensson";"3463";"10";"2";"15";"14";"15";"2";"16";"13";"19";"18";"12"
"Roberto";"3464";"14";"3";"1";"12";"14";"6";"11";"12";"16";"16";"14"
"Ryôta Morioka";"3465";"14";"11";"13";"12";"10";"4";"5";"8";"14";"11";"13"
"Halil Akbunar";"3466";"12";"8";"12";"2";"15";"8";"13";"5";"13";"12";"15"
"Gaku Shibasaki";"3467";"13";"9";"14";"8";"12";"4";"9";"11";"12";"14";"15"
"Samu";"3468";"12";"5";"10";"17";"12";"8";"15";"14";"14";"11";"10"
"Kaan Ayhan";"3469";"14";"6";"14";"11";"14";"9";"13";"16";"16";"9";"9"
"Josh Bowler";"3470";"10";"6";"7";"9";"15";"6";"8";"13";"13";"7";"14"
"Isaac Brizuela";"3471";"13";"12";"12";"13";"13";"6";"11";"11";"9";"10";"15"
"Eduard Atuesta";"3472";"11";"5";"16";"12";"14";"5";"13";"11";"12";"9";"10"
"Ángel Sepúlveda";"3473";"11";"6";"13";"7";"10";"8";"12";"7";"13";"10";"15"
"Mijat Gaćinović";"3474";"13";"11";"16";"13";"15";"7";"11";"11";"15";"10";"11"
"Stefan Ristovski";"3475";"14";"8";"10";"13";"16";"16";"8";"11";"15";"8";"7"
"Benjamin Verbič";"3476";"13";"12";"12";"14";"12";"6";"14";"13";"13";"10";"8"
"Homer Martínez";"3477";"12";"9";"12";"16";"11";"6";"12";"13";"13";"12";"13"
"Igor Lichnovsky";"3478";"10";"6";"8";"8";"13";"12";"14";"11";"13";"10";"9"
"Andraž Šporar";"3479";"14";"12";"7";"12";"15";"15";"16";"13";"14";"12";"10"
"Raúl López";"3480";"13";"6";"11";"9";"10";"7";"9";"11";"12";"10";"12"
"Mbaye Diagne";"3481";"12";"9";"8";"8";"18";"19";"5";"18";"11";"2";"7"
"Žan Majer";"3482";"12";"6";"10";"11";"12";"11";"10";"12";"12";"11";"11"
"Javier Salas";"3483";"13";"12";"9";"10";"11";"2";"12";"11";"14";"8";"6"
"Akram Tawfik";"3484";"12";"3";"13";"10";"12";"12";"14";"8";"11";"7";"4"
"Kevin Velasco";"3485";"3";"12";"14";"10";"10";"4";"13";"11";"10";"10";"11"
"Tommy St. Jago";"3486";"11";"16";"13";"12";"14";"4";"15";"15";"15";"16";"16"
"Jeison Medina";"3487";"12";"7";"12";"11";"11";"6";"11";"13";"12";"11";"16"
"Jackson Muleka";"3488";"14";"5";"13";"15";"13";"3";"13";"9";"11";"12";"13"
"Stéphane Bahoken";"3489";"12";"11";"5";"12";"14";"10";"15";"12";"13";"14";"14"
"Rick van Drongelen";"3490";"10";"8";"10";"13";"16";"10";"13";"8";"14";"11";"8"
"Kaiky";"3491";"11";"4";"9";"15";"13";"8";"12";"11";"10";"9";"17"
"Luca Zanimacchia";"3492";"14";"7";"16";"12";"13";"7";"12";"10";"9";"13";"16"
"Florin Niţă";"3493";"11";"3";"1";"12";"10";"7";"12";"14";"11";"14";"11"
"Osman Bukari";"3494";"11";"10";"12";"13";"12";"2";"10";"11";"10";"10";"10"
"Vukašin Jovanović";"3495";"12";"10";"11";"11";"15";"10";"12";"14";"14";"15";"10"
"Kingsley Ehizibue";"3496";"12";"3";"9";"9";"13";"8";"14";"8";"16";"15";"13"
"Srđan Babić";"3497";"14";"7";"10";"13";"13";"9";"11";"14";"13";"13";"12"
"William Troost-Ekong";"3498";"12";"8";"10";"20";"15";"6";"12";"11";"16";"17";"15"
"Azzedine Ounahi";"3499";"11";"13";"11";"15";"12";"5";"9";"12";"13";"9";"13"
"Alexandru Mitriţă";"3500";"12";"13";"9";"13";"14";"7";"12";"12";"13";"10";"14"
"David Pereira Da Costa";"3501";"13";"7";"12";"12";"13";"4";"11";"11";"14";"10";"11"
"Jamaal Lascelles";"3502";"16";"5";"10";"13";"13";"5";"13";"13";"15";"12";"13"
"Jorman Campuzano";"3503";"13";"6";"12";"14";"13";"8";"11";"12";"11";"12";"10"
"Montassar Talbi";"3504";"1";"7";"8";"14";"14";"6";"10";"13";"14";"14";"6"
"Ayoub El Kaabi";"3505";"12";"7";"14";"14";"15";"2";"13";"12";"15";"8";"12"
"Kenji Gorré";"3506";"9";"5";"10";"11";"15";"6";"10";"11";"12";"10";"12"
"Jeremy Márquez";"3507";"7";"13";"13";"18";"12";"5";"9";"13";"13";"10";"20"
"Luca Kilian";"3508";"14";"5";"11";"8";"14";"6";"12";"13";"13";"15";"17"
"Moritz Heyer";"3509";"15";"4";"16";"6";"13";"6";"13";"13";"13";"13";"11"
"Papy Djilobodji";"3510";"14";"8";"11";"12";"17";"15";"8";"11";"7";"10";"9"
"Erick Otieno";"3511";"13";"12";"12";"15";"13";"5";"8";"13";"14";"11";"10"
"Osvaldo Rodríguez";"3512";"14";"5";"12";"7";"11";"7";"13";"10";"9";"11";"20"
"Abdoulay Diaby";"3513";"13";"10";"10";"8";"15";"8";"11";"10";"7";"13";"13"
"M’Baye Niang";"3514";"10";"10";"12";"12";"16";"13";"7";"9";"10";"12";"13"
"Santiago Giménez";"3515";"12";"7";"8";"14";"16";"8";"13";"13";"14";"13";"12"
"Oliver Norwood";"3516";"13";"5";"12";"6";"12";"5";"11";"11";"14";"10";"12"
"Roberto Insigne";"3517";"12";"4";"16";"13";"14";"8";"14";"7";"12";"11";"10"
"Alex Ferrari";"3518";"10";"12";"11";"11";"12";"8";"11";"12";"8";"8";"10"
"Salif Sané";"3519";"12";"18";"10";"10";"14";"18";"11";"14";"7";"10";"9"
"Mohammed Bouldini";"3520";"12";"13";"8";"12";"12";"6";"8";"12";"13";"14";"15"
"Christian Cueva";"3521";"12";"7";"11";"11";"12";"6";"8";"8";"10";"9";"8"
"Andreas Weimann";"3522";"12";"4";"15";"15";"12";"8";"9";"10";"11";"12";"12"
"Peter Etebo";"3523";"12";"5";"15";"10";"14";"7";"12";"10";"14";"15";"14"
"Digão";"3524";"11";"13";"14";"15";"6";"6";"7";"14";"13";"9";"13"
"Uendel";"3525";"12";"14";"15";"20";"14";"11";"16";"14";"14";"8";"17"
"Marius Müller";"3526";"13";"8";"13";"7";"14";"14";"13";"14";"16";"12";"14"
"Ryan Mendes da Graça";"3527";"14";"13";"8";"13";"14";"6";"11";"12";"12";"15";"15"
"Mads Bidstrup";"3528";"16";"6";"13";"13";"14";"4";"9";"12";"14";"13";"12"
"Alejandro Duarte";"3529";"14";"10";"13";"15";"11";"13";"7";"12";"13";"9";"12"
"Anthony Jung";"3530";"12";"6";"13";"10";"14";"12";"6";"11";"10";"8";"8"
"Oliver Christensen";"3531";"1";"5";"13";"14";"15";"1";"13";"15";"15";"13";"5"
"Carlos Zambrano";"3532";"12";"13";"14";"13";"12";"16";"7";"15";"10";"4";"8"
"Alessandro Deiola";"3533";"8";"9";"13";"11";"12";"4";"8";"13";"13";"9";"13"
"José Juan Macías";"3534";"13";"7";"7";"12";"18";"16";"11";"13";"13";"11";"17"
"Alexandru Cicâldău";"3535";"12";"7";"12";"10";"13";"6";"11";"11";"15";"9";"15"
"Willer Ditta";"3536";"11";"7";"6";"15";"11";"6";"11";"13";"10";"11";"13"
"Stephan Ambrosius";"3537";"12";"12";"14";"6";"11";"6";"14";"11";"13";"15";"12"
"Matija Nastasić";"3538";"15";"14";"7";"15";"11";"8";"10";"13";"14";"12";"17"
"Josha Vagnoman";"3539";"13";"13";"14";"8";"12";"7";"13";"15";"10";"14";"12"
"Alex Teixeira";"3540";"11";"13";"12";"16";"14";"10";"14";"10";"13";"7";"14"
"Christopher Jullien";"3541";"13";"10";"10";"7";"14";"10";"12";"7";"10";"14";"14"
"Patric Pfeiffer";"3542";"12";"7";"8";"13";"14";"7";"11";"14";"13";"12";"11"
"Róbert Mak";"3543";"11";"7";"10";"16";"15";"14";"10";"9";"12";"10";"12"
"Gojko Cimirot";"3544";"13";"6";"13";"10";"14";"4";"14";"12";"13";"13";"10"
"Luis Malagón";"3545";"11";"5";"11";"10";"12";"7";"9";"12";"11";"11";"10"
"Rodrigo Villagra";"3546";"11";"4";"11";"12";"11";"8";"12";"12";"11";"12";"10"
"Malick Thiaw";"3547";"14";"6";"12";"16";"15";"5";"15";"15";"16";"12";"10"
"Kevin Stöger";"3548";"13";"7";"12";"11";"12";"10";"9";"12";"12";"9";"10"
"Aldair Quintana";"3549";"8";"12";"15";"11";"9";"13";"9";"9";"11";"12";"17"
"Davide Biraschi";"3550";"11";"11";"13";"10";"11";"6";"13";"12";"13";"11";"13"
"Halil Dervişoğlu";"3551";"12";"5";"12";"10";"13";"6";"11";"13";"12";"12";"12"
"Gilberto Sepúlveda";"3552";"12";"9";"7";"11";"12";"4";"9";"10";"11";"10";"16"
"Nadir Zortea";"3553";"13";"8";"13";"11";"13";"7";"9";"13";"13";"8";"12"
"Filippo Melegoni";"3554";"10";"10";"13";"7";"16";"5";"13";"11";"15";"13";"11"
"Arsen Zakharyan";"3555";"16";"9";"12";"7";"17";"7";"8";"11";"14";"12";"11"
"Jeisson Palacios";"3556";"13";"11";"11";"11";"9";"10";"12";"10";"9";"8";"11"
"Aymen Barkok";"3557";"12";"10";"15";"8";"12";"8";"16";"12";"12";"12";"10"
"Mostafa Mohamed";"3558";"14";"5";"6";"4";"15";"4";"8";"6";"8";"14";"13"
"Nicolas Cozza";"3559";"14";"11";"12";"8";"13";"11";"10";"12";"14";"12";"15"
"Luis Orejuela";"3560";"11";"10";"11";"6";"10";"9";"13";"12";"12";"11";"12"
"Marcelo Lomba";"3561";"11";"6";"14";"13";"14";"8";"12";"12";"13";"10";"15"
"Queensy Menig";"3562";"8";"7";"13";"9";"9";"3";"11";"9";"11";"14";"10"
"Dominik Greif";"3563";"13";"11";"12";"18";"14";"6";"8";"10";"12";"14";"15"
"Akim Zedadka";"3564";"11";"8";"13";"11";"12";"10";"11";"9";"11";"12";"12"
"Faïz Selemani";"3565";"11";"11";"12";"12";"14";"9";"10";"9";"10";"10";"10"
"Ignacio Malcorra";"3566";"12";"9";"10";"13";"12";"6";"11";"13";"14";"13";"10"
"Emiliano Insúa";"3567";"13";"8";"10";"16";"14";"8";"13";"14";"15";"17";"13"
"Julian Justvan";"3568";"11";"5";"15";"20";"9";"8";"8";"11";"9";"10";"13"
"Jasmin Kurtič";"3569";"14";"7";"6";"16";"17";"16";"12";"13";"17";"6";"9"
"Xavier Mercier";"3570";"14";"6";"10";"13";"11";"6";"13";"14";"14";"8";"14"
"Diego Rodríguez";"3571";"7";"10";"12";"7";"8";"7";"14";"6";"14";"14";"14"
"Abdu Conté";"3572";"8";"12";"11";"17";"12";"5";"11";"8";"15";"14";"12"
"Mitchell Dijks";"3573";"12";"15";"8";"18";"11";"13";"11";"17";"8";"10";"7"
"Alexis Pérez";"3574";"11";"8";"8";"11";"12";"10";"12";"10";"12";"10";"11"
"Ryan Mmaee";"3575";"13";"7";"4";"14";"14";"5";"8";"14";"14";"12";"9"
"Andrés Roa";"3576";"13";"9";"13";"11";"11";"9";"11";"12";"12";"11";"10"
"Bruno Bianchi";"3577";"13";"9";"9";"13";"13";"7";"7";"13";"13";"10";"12"
"Jean-Pierre Nsamé";"3578";"15";"10";"7";"15";"13";"14";"13";"8";"16";"8";"8"
"Ismaël Traoré";"3579";"14";"7";"6";"15";"13";"6";"15";"14";"16";"14";"14"
"Stefano Denswil";"3580";"11";"2";"7";"10";"13";"9";"8";"11";"13";"12";"10"
"Erick Pulgar";"3581";"10";"12";"11";"15";"15";"12";"8";"14";"14";"12";"8"
"Raphael Framberger";"3582";"14";"15";"10";"7";"10";"4";"14";"10";"16";"14";"17"
"Serdar Gürler";"3583";"12";"10";"10";"20";"12";"5";"8";"7";"9";"15";"10"
"Martín Rodríguez";"3584";"9";"6";"12";"13";"12";"8";"12";"13";"13";"15";"15"
"Younes Belhanda";"3585";"14";"12";"14";"8";"16";"4";"12";"14";"16";"8";"9"
"Joshua Brenet";"3586";"14";"3";"14";"9";"12";"10";"13";"15";"12";"11";"13"
"Hamdi Fathi";"3587";"12";"6";"9";"9";"11";"7";"10";"9";"13";"4";"16"
"Wesley Moraes";"3588";"9";"9";"5";"10";"14";"7";"12";"10";"9";"9";"14"
"Maximiliano Moralez";"3589";"12";"13";"11";"11";"12";"10";"16";"15";"12";"12";"14"
"Aleksa Terzić";"3590";"11";"7";"11";"11";"12";"9";"11";"12";"13";"12";"11"
"Gianluca Frabotta";"3591";"11";"5";"13";"14";"14";"5";"13";"12";"15";"16";"12"
"Jean-David Beauguel";"3592";"13";"7";"6";"6";"11";"13";"9";"12";"11";"12";"10"
"Mo Dauda";"3593";"14";"7";"11";"9";"14";"9";"10";"12";"9";"12";"13"
"Marcelo";"3594";"14";"14";"11";"14";"14";"11";"17";"15";"12";"11";"15"
"Marlon";"3595";"11";"6";"17";"20";"10";"3";"9";"11";"12";"12";"11"
"Maurício";"3596";"14";"13";"12";"14";"15";"11";"10";"12";"16";"15";"12"
"Nathan";"3597";"12";"4";"13";"13";"13";"14";"5";"13";"8";"9";"12"
"Paulinho";"3598";"9";"4";"10";"12";"9";"7";"8";"11";"10";"9";"10"
