"Name(ocultar)";"Futbolista_ID";"Corners";"Pases precisos";"Regate";"Finalizar";"Primer toque";"Lanzamiento de faltas";"Cabezazo";"Disparos a distancia";"Pases largos";"Marcaje";"Pases";"Lanzamiento de penalti";"Choque";"Tecnica";"Agresividad";"Anticipación";"Sacrificio";"Serenidad";"Concentración";"Visión";"Decisión";"Determinación";"Creatividad";"Liderazgo";"Juego sin balón";"Posición secundaria";"Trabajo en equipo";"Intensidad de trabajo";"Aceleración";"Agilidad";"Balance";"Salto vertical";"Estado físico";"Velocidad maxima en carrera";"Cardio";"Fuerza";"Estabilidad";"Faltas"
"Mario Engels";"5249";"12";"11";"13";"10";"13";"11";"8";"11";"4";"4";"12";"11";"5";"12";"12";"10";"9";"11";"9";"11";"9";"12";"13";"7";"11";"6";"11";"15";"14";"15";"11";"11";"12";"14";"12";"10";"11";"10"
"Miloš Kosanović";"5250";"11";"11";"8";"7";"10";"15";"11";"13";"11";"13";"11";"14";"12";"10";"10";"13";"12";"11";"11";"9";"11";"11";"8";"14";"8";"14";"15";"14";"9";"11";"15";"15";"12";"11";"13";"16";"14";"10"
"Sam McCallum";"5251";"10";"12";"10";"8";"10";"6";"14";"11";"15";"12";"10";"7";"13";"9";"13";"12";"14";"13";"10";"10";"11";"15";"5";"7";"12";"11";"11";"13";"14";"12";"11";"13";"15";"14";"14";"12";"9";"6"
"Matthieu Udol";"5252";"8";"13";"10";"7";"11";"6";"9";"8";"9";"13";"12";"5";"13";"11";"15";"13";"14";"13";"13";"12";"12";"11";"7";"12";"12";"14";"14";"13";"13";"13";"12";"8";"12";"13";"13";"14";"12";"8"
"Eom Won-Sang";"5253";"7";"11";"14";"11";"12";"7";"7";"6";"4";"5";"12";"9";"7";"13";"13";"12";"12";"11";"12";"11";"11";"9";"12";"11";"12";"10";"12";"11";"16";"14";"11";"8";"10";"13";"12";"10";"11";"5"
"Youssouf Koné";"5254";"8";"13";"12";"8";"12";"6";"11";"9";"12";"13";"12";"10";"13";"12";"13";"13";"14";"12";"11";"9";"11";"11";"11";"5";"14";"10";"13";"14";"14";"12";"12";"9";"14";"14";"15";"13";"12";"13"
"Umut Bozok";"5255";"5";"10";"12";"13";"12";"10";"12";"10";"5";"6";"12";"15";"6";"13";"12";"14";"13";"13";"13";"13";"14";"14";"13";"7";"14";"9";"13";"13";"12";"13";"13";"9";"14";"12";"12";"11";"12";"14"
"Luca Itter";"5256";"10";"12";"11";"7";"11";"9";"7";"8";"14";"11";"13";"8";"14";"13";"11";"14";"10";"14";"9";"12";"12";"13";"11";"8";"11";"10";"16";"15";"13";"13";"8";"11";"15";"15";"14";"7";"13";"7"
"Philip Heise";"5257";"14";"14";"10";"7";"11";"12";"8";"13";"14";"10";"13";"9";"12";"11";"12";"11";"13";"10";"11";"11";"11";"14";"12";"9";"11";"10";"14";"14";"13";"11";"13";"11";"14";"14";"14";"10";"13";"8"
"José Francisco Cevallos";"5258";"10";"11";"13";"14";"15";"13";"12";"14";"6";"7";"13";"10";"7";"15";"8";"8";"9";"12";"13";"14";"14";"13";"12";"12";"13";"8";"9";"12";"11";"12";"13";"12";"11";"11";"12";"14";"9";"7"
"Sebastian Ernst";"5259";"5";"8";"14";"11";"13";"5";"11";"9";"4";"11";"14";"7";"12";"14";"14";"12";"12";"14";"12";"14";"12";"12";"13";"12";"13";"11";"12";"13";"12";"12";"12";"10";"13";"12";"14";"8";"13";"8"
"Raúl Castro";"5260";"11";"10";"15";"6";"12";"7";"12";"12";"7";"10";"14";"9";"12";"11";"12";"15";"11";"12";"12";"12";"12";"13";"7";"11";"16";"10";"12";"15";"13";"12";"14";"13";"16";"12";"14";"11";"11";"12"
"Gonzalo Castellani";"5261";"13";"11";"13";"10";"14";"14";"11";"14";"6";"10";"14";"15";"9";"15";"7";"10";"12";"12";"10";"14";"14";"12";"14";"12";"13";"9";"13";"9";"9";"10";"14";"13";"14";"12";"13";"12";"11";"8"
"Paweł Wszołek";"5262";"8";"12";"13";"10";"13";"8";"10";"10";"5";"9";"11";"12";"8";"13";"8";"12";"11";"13";"11";"11";"10";"13";"12";"8";"14";"10";"13";"15";"14";"11";"13";"10";"16";"14";"15";"11";"11";"9"
"Max Besuschkow";"5263";"13";"12";"11";"12";"14";"13";"11";"12";"4";"10";"15";"12";"10";"14";"14";"12";"12";"13";"11";"14";"12";"14";"14";"8";"11";"11";"12";"12";"9";"12";"12";"12";"15";"13";"14";"11";"12";"10"
"Alexandru Epureanu";"5264";"5";"7";"10";"8";"10";"8";"16";"10";"10";"14";"14";"10";"12";"10";"10";"15";"16";"18";"14";"11";"16";"14";"8";"16";"10";"16";"14";"10";"5";"5";"13";"13";"16";"8";"8";"14";"16";"12"
"Federico Girotti";"5265";"4";"9";"11";"13";"11";"9";"14";"9";"4";"7";"12";"11";"9";"13";"14";"14";"12";"8";"10";"10";"12";"17";"10";"12";"14";"9";"13";"15";"12";"11";"14";"15";"15";"11";"16";"17";"11";"7"
"Muhammed Cham";"5266";"12";"11";"14";"13";"13";"12";"9";"13";"8";"7";"13";"10";"8";"14";"10";"12";"12";"12";"11";"12";"13";"12";"11";"9";"12";"10";"11";"11";"14";"14";"12";"9";"11";"13";"13";"11";"12";"8"
"Richard Strebinger";"5267";"1";"1";"2";"1";"9";"1";"8";"6";"7";"3";"9";"6";"5";"10";"8";"11";"11";"10";"12";"9";"11";"13";"14";"14";"1";"14";"15";"15";"8";"13";"15";"16";"13";"10";"14";"15";"11";"6"
"Hong Hyun-Seok";"5268";"6";"9";"12";"11";"13";"6";"9";"9";"7";"13";"13";"7";"11";"14";"8";"12";"11";"12";"12";"11";"11";"15";"6";"6";"13";"13";"12";"13";"15";"13";"10";"9";"13";"15";"13";"11";"13";"6"
"Lukáš Štetina";"5269";"3";"7";"8";"6";"9";"6";"14";"10";"13";"15";"12";"10";"11";"10";"14";"10";"15";"13";"14";"9";"10";"13";"12";"13";"7";"12";"12";"10";"13";"11";"17";"15";"15";"11";"13";"17";"14";"10"
"Kenan Karaman";"5270";"4";"8";"12";"11";"11";"5";"13";"10";"6";"10";"11";"8";"11";"12";"13";"12";"13";"12";"11";"11";"10";"13";"12";"6";"13";"10";"14";"16";"12";"12";"12";"13";"13";"14";"14";"13";"11";"7"
"Damian Kądzior";"5271";"14";"17";"12";"12";"13";"12";"7";"12";"4";"7";"12";"12";"8";"12";"10";"11";"8";"12";"14";"15";"12";"14";"11";"9";"14";"9";"13";"14";"12";"13";"10";"7";"12";"12";"14";"10";"15";"9"
"Carlos Alcaraz";"5272";"12";"11";"13";"13";"14";"12";"7";"12";"9";"10";"14";"7";"9";"14";"6";"10";"9";"9";"13";"11";"16";"15";"11";"1";"14";"13";"13";"12";"13";"13";"13";"12";"12";"12";"11";"11";"13";"11"
"Jacob Une Larsson";"5273";"7";"9";"7";"8";"9";"8";"13";"9";"8";"13";"12";"8";"14";"9";"12";"12";"15";"13";"13";"12";"12";"13";"6";"14";"9";"14";"13";"13";"11";"10";"12";"12";"14";"12";"13";"13";"15";"8"
"Damian Szymański";"5274";"7";"12";"10";"10";"11";"9";"12";"11";"8";"13";"12";"10";"13";"11";"14";"12";"15";"11";"12";"12";"10";"14";"9";"12";"12";"13";"14";"15";"12";"12";"14";"11";"16";"12";"15";"13";"13";"12"
"Žiga Frelih";"5275";"5";"3";"2";"2";"10";"7";"9";"2";"1";"2";"12";"3";"1";"9";"12";"13";"12";"9";"13";"10";"11";"13";"2";"8";"3";"11";"13";"12";"11";"13";"12";"18";"17";"12";"12";"15";"20";"12"
"Vid Belec";"5276";"5";"2";"2";"2";"6";"7";"7";"3";"1";"1";"5";"2";"2";"7";"10";"14";"14";"11";"13";"11";"12";"15";"3";"11";"4";"13";"13";"16";"11";"12";"11";"16";"15";"10";"8";"13";"12";"3"
"Žan Celar";"5277";"7";"10";"11";"13";"12";"10";"13";"13";"5";"5";"11";"15";"9";"12";"12";"13";"13";"12";"11";"9";"11";"14";"11";"7";"13";"7";"12";"13";"13";"13";"12";"11";"14";"13";"13";"14";"11";"7"
"Florian Krüger";"5278";"6";"7";"10";"14";"13";"8";"13";"10";"4";"6";"12";"12";"6";"11";"12";"13";"13";"14";"11";"11";"10";"13";"13";"10";"13";"7";"12";"12";"13";"11";"12";"13";"14";"14";"11";"13";"13";"5"
"Ryan Donk";"5279";"2";"11";"11";"8";"15";"6";"16";"7";"5";"14";"14";"10";"14";"14";"11";"13";"13";"19";"9";"16";"13";"7";"13";"15";"12";"12";"14";"10";"7";"8";"15";"16";"17";"9";"9";"17";"13";"11"
"Ognjen Vranješ";"5280";"5";"7";"10";"8";"10";"6";"16";"7";"10";"14";"9";"10";"15";"10";"19";"12";"17";"12";"10";"8";"9";"15";"7";"8";"10";"13";"12";"13";"13";"14";"14";"14";"15";"13";"12";"15";"9";"16"
"Jack Whatmough";"5281";"7";"7";"8";"6";"11";"9";"14";"8";"10";"13";"13";"7";"12";"13";"13";"13";"12";"13";"13";"11";"12";"16";"8";"12";"8";"14";"12";"13";"11";"10";"12";"13";"12";"11";"12";"12";"13";"9"
"Jens Grahl";"5282";"4";"2";"3";"1";"7";"5";"5";"2";"2";"2";"8";"4";"1";"7";"10";"12";"13";"12";"12";"7";"12";"13";"5";"13";"2";"9";"17";"11";"12";"14";"13";"15";"12";"10";"11";"16";"12";"5"
"Gastón Hernández";"5283";"7";"7";"6";"7";"8";"2";"15";"7";"7";"13";"11";"7";"14";"8";"15";"12";"15";"13";"14";"10";"12";"5";"7";"11";"6";"13";"12";"14";"10";"9";"14";"13";"13";"12";"12";"14";"12";"12"
"Garry Rodrigues";"5284";"10";"12";"13";"12";"13";"11";"8";"11";"4";"7";"12";"12";"7";"13";"8";"12";"9";"11";"9";"13";"11";"12";"14";"7";"14";"7";"11";"12";"15";"15";"13";"8";"11";"14";"12";"8";"12";"9"
"Michał Helik";"5285";"6";"7";"7";"8";"9";"7";"15";"6";"9";"13";"10";"10";"14";"8";"15";"12";"15";"11";"13";"7";"12";"14";"5";"14";"10";"13";"13";"14";"10";"8";"14";"17";"14";"11";"14";"15";"13";"11"
"Njegoš Petrović";"5286";"9";"10";"10";"8";"12";"10";"10";"15";"7";"11";"12";"9";"12";"12";"15";"11";"12";"11";"12";"12";"11";"14";"12";"11";"12";"12";"13";"14";"14";"13";"12";"13";"11";"13";"12";"13";"13";"9"
"Jaba Kankava";"5287";"7";"8";"8";"6";"15";"10";"10";"12";"10";"13";"12";"12";"14";"13";"16";"13";"15";"14";"13";"10";"12";"16";"8";"14";"8";"12";"15";"15";"10";"11";"14";"10";"16";"11";"14";"13";"14";"12"
"Cenk Tosun";"5288";"7";"8";"10";"15";"11";"10";"15";"13";"7";"8";"12";"16";"4";"12";"16";"13";"14";"14";"14";"10";"13";"17";"12";"13";"11";"8";"13";"14";"8";"10";"13";"12";"12";"10";"11";"12";"12";"14"
"Kristoffer Peterson";"5289";"7";"12";"14";"10";"12";"13";"11";"14";"4";"5";"12";"10";"4";"13";"8";"10";"12";"12";"12";"11";"11";"13";"14";"7";"10";"6";"10";"12";"14";"14";"11";"12";"13";"15";"12";"12";"9";"7"
"Ryan Babel";"5290";"9";"12";"14";"10";"16";"13";"11";"15";"7";"6";"13";"13";"6";"15";"10";"14";"8";"15";"12";"12";"11";"7";"10";"7";"10";"8";"10";"8";"11";"12";"17";"13";"18";"13";"8";"15";"11";"6"
"Hasan Ali Kaldırım";"5291";"11";"12";"9";"7";"12";"10";"11";"10";"13";"13";"12";"8";"13";"12";"10";"12";"13";"13";"13";"8";"12";"13";"7";"10";"11";"13";"15";"16";"12";"12";"11";"11";"17";"12";"15";"12";"14";"13"
"Kwadwo Duah";"5292";"7";"6";"13";"12";"12";"7";"8";"9";"6";"3";"10";"11";"6";"12";"12";"11";"12";"13";"8";"7";"10";"10";"14";"11";"13";"3";"11";"13";"17";"12";"12";"12";"10";"16";"13";"12";"7";"6"
"Kike Márquez";"5293";"12";"11";"14";"10";"14";"14";"7";"13";"4";"4";"14";"12";"4";"14";"9";"12";"8";"12";"8";"14";"13";"14";"15";"16";"13";"11";"13";"12";"12";"11";"11";"9";"15";"12";"12";"9";"13";"8"
"Ilie Sánchez";"5294";"8";"8";"11";"9";"14";"8";"13";"9";"8";"12";"14";"13";"13";"13";"13";"14";"12";"14";"12";"15";"14";"12";"8";"15";"13";"14";"15";"11";"9";"10";"11";"11";"13";"9";"14";"12";"13";"9"
"Teenage Hadebe";"5295";"4";"4";"8";"7";"9";"5";"13";"5";"6";"13";"11";"5";"15";"10";"16";"12";"18";"14";"14";"12";"13";"12";"7";"7";"7";"13";"10";"15";"13";"11";"15";"12";"16";"13";"15";"13";"12";"14"
"James Jeggo";"5296";"10";"10";"11";"7";"12";"11";"9";"9";"10";"13";"13";"13";"14";"12";"14";"13";"13";"12";"12";"12";"10";"14";"9";"14";"11";"14";"14";"15";"13";"13";"12";"11";"14";"12";"14";"11";"12";"10"
"Bogdan Mykhaylichenko";"5297";"10";"12";"12";"10";"11";"6";"10";"12";"13";"12";"13";"5";"12";"10";"10";"10";"16";"11";"12";"12";"13";"16";"10";"11";"13";"10";"13";"13";"13";"13";"12";"12";"13";"14";"13";"13";"12";"9"
"Tommy Doyle";"5298";"14";"13";"11";"10";"13";"13";"7";"11";"5";"8";"14";"13";"12";"13";"13";"12";"13";"13";"12";"14";"12";"16";"12";"14";"12";"11";"13";"14";"13";"13";"13";"8";"13";"13";"13";"11";"12";"12"
"Artem Besedin";"5299";"4";"6";"10";"12";"9";"9";"15";"10";"4";"5";"11";"11";"8";"10";"13";"13";"16";"10";"12";"12";"11";"16";"8";"8";"14";"9";"16";"19";"12";"12";"16";"15";"13";"13";"15";"15";"7";"7"
"Sam Greenwood";"5300";"11";"9";"11";"14";"12";"14";"10";"10";"3";"6";"12";"13";"7";"12";"12";"11";"11";"11";"11";"10";"8";"13";"13";"8";"13";"9";"13";"12";"14";"12";"10";"10";"13";"13";"13";"8";"12";"7"
"Ivan Petriak";"5301";"12";"12";"13";"11";"13";"12";"6";"11";"7";"6";"13";"9";"9";"13";"15";"10";"6";"11";"10";"12";"9";"16";"12";"9";"12";"12";"15";"12";"14";"14";"9";"6";"13";"14";"12";"7";"9";"7"
"Soufiane Bidaoui";"5302";"13";"12";"16";"11";"14";"6";"6";"10";"8";"5";"12";"8";"8";"14";"13";"9";"13";"11";"12";"13";"13";"11";"12";"8";"14";"8";"10";"12";"13";"14";"10";"8";"12";"13";"13";"10";"12";"9"
"Carney Chukwuemeka";"5303";"5";"6";"13";"11";"14";"5";"11";"11";"6";"8";"13";"7";"10";"14";"10";"12";"14";"15";"10";"11";"12";"17";"14";"9";"9";"10";"9";"12";"13";"13";"12";"11";"12";"14";"13";"13";"11";"9"
"Vladlen Yurchenko";"5304";"14";"12";"13";"12";"14";"14";"6";"13";"4";"7";"14";"14";"8";"15";"10";"13";"8";"14";"9";"16";"11";"13";"15";"10";"14";"10";"14";"11";"11";"13";"12";"9";"12";"11";"12";"12";"12";"6"
"Roman Bezus";"5305";"12";"14";"12";"12";"14";"11";"12";"12";"8";"10";"15";"18";"9";"13";"9";"14";"14";"11";"14";"14";"12";"10";"15";"13";"14";"13";"12";"14";"12";"11";"13";"13";"11";"11";"12";"11";"10";"9"
"Serhiy Kryvtsov";"5306";"4";"6";"9";"8";"13";"3";"15";"11";"9";"15";"12";"10";"14";"9";"15";"12";"17";"12";"12";"12";"12";"17";"5";"13";"10";"12";"14";"15";"10";"10";"14";"14";"16";"11";"11";"13";"13";"9"
"Sergio Tejera";"5307";"12";"13";"11";"10";"14";"13";"9";"14";"6";"12";"15";"12";"12";"15";"12";"13";"10";"10";"12";"15";"13";"8";"16";"10";"12";"12";"13";"12";"12";"11";"10";"11";"9";"10";"12";"11";"11";"11"
"Troy Deeney";"5308";"8";"11";"9";"14";"14";"7";"15";"14";"14";"7";"13";"18";"10";"14";"16";"13";"17";"13";"12";"12";"13";"19";"9";"18";"13";"7";"16";"13";"9";"8";"15";"14";"11";"9";"14";"18";"12";"13"
"Artem Hromov";"5309";"12";"12";"11";"13";"13";"12";"10";"12";"12";"11";"12";"13";"10";"11";"17";"10";"10";"8";"12";"14";"10";"14";"10";"14";"12";"10";"10";"10";"11";"11";"12";"12";"15";"14";"12";"14";"12";"12"
"Barry Bannan";"5310";"11";"16";"13";"11";"14";"13";"9";"13";"5";"8";"15";"15";"12";"14";"8";"13";"7";"13";"13";"14";"13";"7";"12";"14";"12";"13";"14";"16";"12";"11";"14";"6";"15";"11";"13";"6";"12";"7"
"Denys Harmash";"5311";"8";"12";"13";"11";"13";"12";"11";"13";"7";"9";"13";"13";"11";"13";"18";"12";"17";"11";"10";"14";"11";"15";"12";"14";"13";"10";"12";"12";"11";"10";"11";"12";"14";"12";"13";"13";"9";"17"
"Dale Stephens";"5312";"11";"9";"8";"10";"12";"10";"9";"10";"6";"14";"12";"10";"13";"13";"14";"13";"16";"14";"14";"12";"13";"15";"8";"12";"10";"14";"17";"16";"11";"10";"12";"13";"14";"11";"13";"12";"14";"13"
"Yaroslav Rakitskyi";"5313";"11";"12";"9";"11";"11";"14";"14";"13";"9";"13";"14";"13";"14";"13";"19";"13";"17";"13";"10";"14";"11";"12";"8";"14";"9";"13";"14";"15";"9";"9";"13";"13";"15";"9";"13";"15";"12";"18"
"Fatih Aksoy";"5314";"6";"12";"10";"9";"11";"7";"14";"8";"10";"13";"14";"7";"13";"12";"14";"15";"14";"10";"12";"13";"13";"12";"9";"7";"9";"13";"15";"14";"11";"10";"12";"13";"10";"13";"13";"14";"11";"8"
"Tayyip Talha Sanuç";"5315";"5";"6";"11";"8";"8";"3";"13";"6";"6";"14";"11";"6";"14";"7";"13";"12";"13";"12";"12";"8";"12";"14";"3";"7";"8";"13";"13";"14";"13";"13";"12";"15";"15";"13";"13";"14";"15";"7"
"Ersin Destanoğlu";"5316";"3";"2";"2";"1";"7";"4";"2";"2";"3";"2";"7";"2";"1";"10";"10";"14";"17";"12";"10";"6";"12";"10";"2";"8";"1";"12";"14";"14";"11";"10";"13";"14";"15";"11";"14";"14";"11";"9"
"Simon Moore";"5317";"5";"2";"3";"2";"7";"9";"7";"3";"3";"3";"9";"6";"7";"8";"9";"11";"14";"9";"11";"6";"11";"13";"9";"10";"1";"12";"10";"10";"9";"14";"13";"16";"12";"9";"13";"14";"9";"6"
"Vitaliy Lisakovich";"5318";"10";"10";"11";"12";"12";"12";"11";"10";"6";"8";"10";"14";"8";"13";"10";"14";"12";"11";"10";"13";"11";"12";"14";"7";"14";"7";"11";"11";"13";"14";"10";"9";"14";"14";"14";"10";"11";"8"
"Dieumerci Mbokani";"5319";"4";"9";"14";"13";"15";"7";"14";"11";"5";"5";"12";"12";"3";"13";"14";"11";"15";"14";"12";"13";"11";"10";"13";"7";"15";"8";"10";"11";"10";"14";"15";"16";"15";"10";"10";"16";"14";"12"
"Vasyl Kravets";"5320";"11";"10";"10";"7";"10";"10";"10";"9";"10";"9";"11";"7";"12";"11";"15";"10";"15";"10";"8";"8";"10";"14";"8";"9";"10";"11";"15";"16";"14";"12";"10";"13";"12";"13";"17";"15";"11";"9"
"Eren Elmalı";"5321";"11";"13";"11";"5";"11";"3";"10";"8";"10";"11";"12";"8";"10";"12";"12";"12";"14";"12";"13";"8";"11";"13";"12";"8";"10";"10";"14";"14";"15";"13";"14";"10";"15";"16";"15";"13";"12";"11"
"Ömer Ali Şahiner";"5322";"10";"10";"13";"10";"11";"10";"7";"10";"7";"9";"11";"12";"11";"11";"14";"11";"14";"10";"13";"11";"10";"13";"12";"10";"12";"9";"14";"14";"14";"12";"12";"7";"17";"14";"14";"11";"14";"10"
"Jacopo Sala";"5323";"11";"12";"11";"8";"11";"10";"8";"13";"12";"11";"13";"9";"15";"11";"13";"11";"15";"12";"11";"13";"10";"11";"13";"8";"13";"11";"15";"16";"13";"11";"11";"10";"13";"13";"13";"12";"13";"6"
"Mark Gillespie";"5324";"3";"2";"1";"3";"8";"1";"9";"2";"3";"3";"9";"2";"3";"11";"9";"10";"13";"10";"11";"8";"12";"11";"5";"7";"9";"11";"7";"11";"9";"12";"9";"12";"13";"9";"14";"13";"13";"7"
"Luke Freeman";"5325";"13";"14";"13";"11";"13";"13";"5";"12";"6";"8";"13";"11";"11";"14";"9";"11";"10";"14";"11";"13";"13";"12";"14";"10";"13";"10";"12";"13";"12";"14";"15";"7";"13";"11";"13";"9";"12";"5"
"Loïck Landre";"5326";"5";"7";"9";"7";"11";"6";"13";"8";"8";"14";"10";"7";"13";"11";"14";"13";"15";"12";"12";"6";"10";"14";"8";"10";"8";"12";"13";"14";"11";"12";"14";"14";"14";"13";"14";"16";"13";"14"
"Youssouf Ndayishimiye";"5327";"8";"9";"11";"6";"13";"7";"11";"5";"8";"12";"13";"8";"12";"12";"15";"12";"16";"13";"13";"11";"12";"16";"6";"9";"9";"13";"15";"16";"12";"12";"15";"12";"16";"12";"15";"14";"14";"11"
"Liam Moore";"5328";"7";"9";"9";"6";"12";"6";"13";"6";"18";"14";"13";"7";"14";"10";"14";"12";"19";"13";"12";"10";"9";"14";"5";"17";"10";"14";"13";"13";"10";"11";"10";"12";"18";"11";"14";"15";"12";"12"
"İrfan Eğribayat";"5329";"7";"2";"3";"2";"11";"8";"8";"2";"2";"2";"13";"1";"3";"12";"14";"11";"14";"12";"11";"8";"11";"9";"1";"12";"2";"10";"11";"12";"12";"15";"9";"15";"12";"11";"9";"13";"12";"10"
"Valeriy Bondar";"5330";"5";"7";"9";"5";"12";"4";"12";"5";"7";"11";"11";"6";"13";"12";"14";"12";"16";"10";"11";"12";"12";"14";"7";"15";"11";"16";"14";"10";"12";"13";"13";"13";"14";"13";"13";"12";"11";"10"
"Birger Verstraete";"5331";"11";"11";"9";"12";"11";"13";"11";"12";"9";"11";"12";"14";"11";"12";"16";"12";"14";"13";"12";"11";"14";"14";"13";"12";"8";"9";"15";"15";"13";"13";"12";"9";"14";"13";"15";"13";"14";"15"
"Houboulang Mendes";"5332";"6";"12";"11";"6";"11";"8";"13";"11";"12";"13";"12";"8";"13";"11";"13";"13";"15";"13";"12";"12";"10";"13";"8";"8";"13";"12";"12";"14";"12";"12";"15";"12";"15";"13";"15";"13";"12";"11"
"Etienne Green";"5333";"3";"2";"1";"1";"10";"6";"8";"3";"1";"3";"13";"1";"3";"10";"12";"11";"14";"13";"12";"9";"12";"14";"6";"8";"1";"12";"11";"9";"11";"12";"12";"15";"14";"11";"13";"13";"10";"13"
"Rayane Aabid";"5334";"9";"11";"14";"8";"13";"11";"7";"11";"4";"7";"14";"8";"12";"14";"10";"13";"10";"12";"13";"14";"12";"12";"12";"12";"13";"12";"13";"14";"13";"14";"14";"8";"12";"12";"13";"12";"14";"10"
"Idrissa Doumbia";"5335";"8";"8";"12";"8";"12";"8";"9";"11";"5";"11";"12";"10";"13";"12";"13";"12";"13";"11";"12";"12";"10";"14";"9";"10";"13";"12";"15";"12";"14";"13";"12";"12";"15";"14";"15";"14";"10";"12"
"Taher Mohamed";"5336";"7";"11";"15";"9";"16";"9";"9";"14";"6";"7";"13";"12";"11";"16";"7";"12";"14";"9";"8";"14";"9";"9";"14";"5";"11";"8";"13";"13";"13";"14";"12";"11";"14";"14";"15";"10";"8";"3"
"Lilian Brassier";"5337";"10";"12";"12";"7";"12";"6";"13";"12";"6";"12";"13";"7";"14";"12";"11";"12";"13";"11";"11";"13";"13";"9";"10";"7";"10";"12";"13";"12";"13";"13";"12";"12";"13";"14";"13";"14";"12";"12"
"Bruno Miranda";"5338";"9";"7";"11";"12";"11";"8";"11";"10";"5";"9";"9";"11";"7";"12";"8";"13";"12";"12";"13";"13";"12";"11";"12";"10";"13";"10";"14";"13";"14";"11";"12";"11";"14";"15";"13";"11";"9";"7"
"Pablo Aránguiz";"5339";"12";"12";"14";"9";"13";"11";"6";"11";"7";"5";"13";"6";"6";"14";"10";"13";"12";"12";"12";"14";"14";"13";"15";"9";"14";"6";"12";"12";"14";"14";"11";"5";"13";"13";"12";"8";"10";"6"
"Paolo Fernandes";"5340";"15";"13";"16";"12";"13";"15";"7";"14";"5";"6";"13";"12";"5";"15";"8";"9";"9";"12";"9";"13";"13";"9";"16";"6";"13";"7";"10";"9";"14";"15";"12";"7";"12";"12";"12";"7";"9";"8"
"Angelo Sagal";"5341";"10";"13";"15";"9";"13";"9";"8";"11";"9";"5";"12";"7";"8";"13";"12";"14";"10";"9";"12";"13";"10";"13";"14";"9";"14";"7";"13";"14";"15";"14";"11";"10";"15";"14";"15";"9";"12";"9"
"Brayan Cortés";"5342";"2";"3";"2";"1";"7";"2";"3";"3";"1";"2";"7";"3";"3";"9";"8";"11";"14";"10";"10";"11";"11";"12";"3";"12";"2";"13";"12";"11";"11";"12";"12";"14";"13";"15";"11";"12";"12";"6"
"Othmane Boussaid";"5343";"10";"13";"14";"7";"14";"8";"6";"11";"5";"7";"14";"8";"4";"15";"12";"13";"13";"13";"10";"13";"11";"13";"14";"6";"12";"6";"12";"14";"14";"15";"13";"5";"13";"12";"11";"5";"10";"8"
"Hugo Cuypers";"5344";"8";"9";"10";"13";"12";"9";"14";"9";"6";"7";"12";"10";"7";"11";"10";"11";"14";"12";"16";"11";"13";"17";"11";"7";"17";"10";"16";"16";"12";"11";"13";"12";"13";"13";"12";"14";"14";"4"
"Siebe Van der Heyden";"5345";"8";"8";"11";"8";"11";"10";"12";"11";"3";"12";"12";"6";"10";"12";"12";"12";"11";"12";"15";"8";"14";"7";"11";"13";"14";"11";"14";"12";"12";"11";"14";"12";"12";"12";"12";"14";"15";"14"
"Joan González";"5346";"7";"7";"9";"12";"13";"7";"13";"11";"7";"12";"13";"9";"13";"12";"14";"14";"12";"11";"12";"13";"12";"14";"8";"8";"13";"14";"13";"13";"13";"12";"13";"13";"14";"13";"12";"12";"13";"13"
"Junior Fernandes";"5347";"9";"12";"15";"13";"15";"8";"12";"12";"14";"5";"13";"10";"6";"14";"13";"8";"14";"14";"12";"12";"12";"12";"14";"6";"14";"5";"10";"7";"14";"14";"12";"12";"9";"13";"8";"13";"10";"10"
"Vladyslav Dubinchak";"5348";"11";"12";"12";"6";"12";"5";"9";"6";"6";"11";"11";"5";"11";"12";"10";"12";"13";"10";"11";"13";"11";"14";"9";"12";"11";"12";"12";"14";"14";"14";"14";"10";"13";"14";"14";"12";"12";"7"
"Maxime Crépeau";"5349";"5";"3";"2";"3";"7";"7";"2";"2";"3";"1";"11";"2";"2";"8";"15";"11";"14";"10";"12";"10";"11";"12";"9";"15";"3";"12";"10";"12";"10";"14";"10";"11";"10";"10";"13";"14";"12";"9"
"Diego Fagúndez";"5350";"7";"12";"13";"12";"12";"14";"8";"13";"6";"6";"12";"10";"7";"11";"12";"8";"11";"8";"8";"13";"9";"8";"15";"6";"12";"13";"11";"11";"15";"15";"14";"7";"10";"14";"13";"8";"11";"6"
"Matt Hedges";"5351";"6";"6";"5";"5";"10";"5";"15";"5";"5";"13";"11";"7";"14";"10";"10";"12";"13";"10";"12";"10";"13";"13";"4";"16";"8";"12";"13";"14";"12";"9";"12";"16";"13";"12";"13";"14";"15";"5"
"Will Smallbone";"5352";"9";"12";"13";"10";"13";"9";"9";"9";"6";"6";"14";"9";"11";"14";"7";"13";"7";"13";"13";"12";"13";"12";"12";"9";"13";"9";"14";"13";"12";"13";"13";"11";"12";"12";"14";"9";"11";"7"
"Justen Glad";"5353";"8";"6";"8";"7";"10";"8";"14";"8";"11";"13";"11";"9";"14";"11";"10";"12";"12";"11";"12";"10";"12";"12";"3";"9";"9";"13";"12";"15";"12";"10";"11";"13";"8";"15";"14";"11";"14";"7"
