"Name(ocultar)";"Futbolista_ID";"Alcance aéreo";"Liderazgo en el área";"Comunicación";"Exentricidad";"Manejo de balón";"Despeje de balón";"1 vs 1";"Reflejos";"Salir a por el balón ";"Puños de portero";"Lanzamientos de portero"
"Pedro Nuno";"3658";"1";"1";"2";"3";"3";"2";"3";"3";"4";"3";"1"
"Andreas Voglsammer";"3659";"3";"2";"3";"1";"3";"1";"1";"1";"3";"3";"2"
"Maxime Dupé";"3660";"13";"12";"14";"7";"13";"12";"12";"14";"7";"13";"12"
"Miguel Araujo";"3661";"1";"2";"2";"3";"3";"1";"1";"2";"3";"1";"3"
"Yairo Moreno";"3662";"3";"2";"3";"1";"1";"2";"3";"3";"2";"1";"3"
"Fernando León";"3663";"2";"1";"2";"2";"3";"2";"3";"2";"2";"1";"2"
"Jacob Rinne";"3664";"12";"12";"13";"11";"13";"12";"14";"15";"14";"10";"11"
"Ben Pearson";"3665";"1";"1";"1";"3";"1";"3";"1";"3";"3";"3";"1"
"Raúl Loaiza";"3666";"1";"2";"2";"1";"3";"2";"2";"3";"3";"3";"1"
"Cecilio Domínguez";"3667";"1";"2";"1";"3";"1";"1";"2";"2";"2";"1";"3"
"Tim Kleindienst";"3668";"3";"3";"2";"1";"3";"2";"2";"2";"2";"1";"2"
"Cédric Hountondji";"3669";"2";"3";"3";"2";"2";"1";"1";"1";"2";"1";"3"
"Welton Paraguá";"3670";"1";"4";"3";"2";"2";"2";"4";"1";"1";"3";"1"
"Luís Henrique";"3671";"3";"1";"2";"3";"3";"2";"2";"2";"3";"2";"3"
"Calegari";"3672";"2";"1";"1";"3";"2";"1";"1";"3";"2";"1";"3"
"Wesley Lautoa";"3673";"3";"4";"1";"2";"4";"1";"2";"3";"2";"1";"2"
"Mateo Cassierra";"3674";"4";"1";"3";"1";"3";"2";"3";"4";"3";"3";"1"
"Allan Campbell";"3675";"4";"3";"2";"3";"3";"3";"2";"3";"2";"1";"1"
"Yoshimar Yotún";"3676";"4";"3";"1";"2";"1";"3";"3";"2";"2";"2";"2"
"Alexander Ring";"3677";"3";"3";"2";"3";"1";"4";"2";"1";"1";"2";"3"
"Walter González";"3678";"3";"2";"1";"2";"1";"2";"3";"2";"1";"2";"2"
"Angus Gunn";"3679";"15";"14";"13";"6";"15";"14";"13";"14";"9";"6";"11"
"Helibelton Palacios";"3680";"3";"3";"2";"1";"1";"2";"1";"2";"2";"3";"1"
"Johan Carbonero";"3681";"4";"3";"4";"2";"3";"3";"2";"1";"3";"2";"1"
"Marcel Hartel";"3682";"2";"1";"2";"1";"2";"3";"1";"1";"1";"3";"2"
"Deyverson";"3683";"2";"1";"3";"1";"1";"2";"3";"4";"2";"2";"1"
"Yvan Neyou";"3684";"3";"1";"2";"1";"1";"3";"1";"2";"2";"1";"3"
"Jeremy Sarmiento";"3685";"3";"4";"1";"3";"3";"1";"2";"1";"3";"1";"1"
"Christian Oliva";"3686";"1";"3";"4";"3";"2";"2";"1";"1";"3";"1";"2"
"João Amaral";"3687";"3";"3";"1";"1";"2";"1";"3";"3";"3";"1";"4"
"Yilmar Filigrana";"3688";"1";"3";"1";"3";"2";"2";"1";"2";"4";"2";"2"
"Deiver Machado";"3689";"2";"3";"2";"1";"4";"3";"1";"1";"1";"4";"1"
"Andrew Hjulsager";"3690";"4";"3";"2";"2";"1";"3";"3";"2";"3";"3";"3"
"Chiedozie Ogbene";"3691";"2";"2";"1";"2";"3";"1";"2";"2";"3";"2";"3"
"Sergio Otálvaro";"3692";"2";"1";"2";"1";"3";"2";"2";"2";"1";"2";"2"
"Kemar Lawrence";"3693";"1";"1";"1";"1";"1";"9";"1";"1";"1";"1";"1"
"Jed Wallace";"3694";"4";"2";"1";"3";"3";"3";"3";"3";"3";"2";"4"
"Freddie Woodman";"3695";"13";"12";"13";"8";"14";"12";"13";"13";"12";"13";"12"
"Geisson Perea";"3696";"1";"2";"2";"2";"1";"3";"1";"3";"2";"2";"3"
"Marco Friedl";"3697";"2";"3";"1";"2";"2";"2";"3";"2";"2";"1";"2"
"Federico Pereira";"3698";"1";"4";"4";"3";"3";"2";"3";"2";"4";"3";"1"
"Jack Robinson";"3699";"4";"3";"1";"1";"1";"3";"3";"3";"2";"3";"2"
"Jens Stryger Larsen";"3700";"2";"2";"3";"2";"1";"3";"2";"1";"2";"3";"3"
"Jamie Leweling";"3701";"1";"2";"3";"3";"2";"4";"1";"2";"2";"2";"2"
"Sebastián Gómez";"3702";"2";"1";"2";"3";"1";"1";"3";"3";"3";"1";"3"
"Leyvin Balanta";"3703";"2";"2";"4";"2";"1";"2";"3";"1";"1";"2";"2"
"Nuno Moreira";"3704";"2";"1";"1";"3";"3";"3";"1";"2";"1";"1";"1"
"Darnell Furlong";"3705";"3";"2";"2";"1";"3";"3";"3";"1";"3";"3";"3"
"Toni Borevković";"3706";"2";"3";"2";"1";"3";"3";"3";"3";"3";"1";"2"
"Noah Sonko Sundberg";"3707";"2";"3";"3";"1";"1";"3";"3";"1";"4";"2";"1"
"Santiago Mosquera";"3708";"2";"3";"2";"2";"3";"2";"3";"3";"1";"3";"3"
"Milan Borjan";"3709";"14";"15";"13";"7";"13";"9";"14";"15";"13";"10";"13"
"Simon Gustafson";"3710";"2";"3";"1";"3";"3";"3";"3";"3";"2";"1";"4"
"Francisco Conceição";"3711";"4";"1";"2";"2";"2";"3";"2";"2";"2";"2";"3"
"Xavier Chavalerin";"3712";"3";"1";"3";"1";"1";"3";"2";"2";"1";"2";"1"
"Andrei Burcă";"3713";"1";"1";"3";"1";"2";"3";"1";"1";"3";"1";"1"
"Sebastián Cáceres";"3714";"3";"2";"1";"2";"3";"3";"1";"2";"1";"1";"2"
"Kemar Roofe";"3715";"1";"2";"4";"3";"2";"1";"4";"3";"3";"2";"1"
"Sam Byram";"3716";"3";"2";"2";"3";"3";"2";"1";"3";"3";"2";"3"
"Kenny McLean";"3717";"2";"3";"2";"4";"3";"3";"3";"1";"2";"3";"1"
"Daniel Iversen";"3718";"14";"14";"13";"4";"13";"11";"15";"15";"9";"14";"11"
"Martín Cáceres";"3719";"2";"2";"1";"3";"2";"3";"2";"2";"2";"3";"1"
"Luquinhas";"3720";"1";"3";"4";"3";"1";"1";"2";"1";"4";"3";"1"
"Nail Umyarov";"3721";"2";"3";"1";"3";"7";"1";"2";"2";"1";"4";"3"
"Angelo Stiller";"3722";"2";"2";"2";"3";"2";"2";"3";"3";"3";"1";"3"
"Kingsley Schindler";"3723";"3";"2";"2";"1";"1";"3";"4";"3";"3";"3";"1"
"Gil Dias";"3724";"1";"3";"3";"1";"1";"1";"1";"1";"2";"3";"3"
"Sebastián Rodríguez";"3725";"1";"2";"2";"1";"3";"2";"2";"1";"1";"3";"3"
"Simon Olsson";"3726";"1";"1";"1";"1";"2";"3";"2";"1";"2";"2";"3"
"Rhian Brewster";"3727";"2";"3";"3";"4";"3";"2";"2";"1";"1";"2";"2"
"Alfredo Aguilar";"3728";"12";"9";"10";"12";"11";"15";"12";"15";"11";"14";"11"
"Felipe Carballo";"3729";"2";"2";"3";"1";"2";"2";"1";"2";"1";"1";"2"
"Brayan Angulo";"3730";"2";"2";"1";"1";"4";"1";"1";"1";"3";"1";"1"
"Ivan Oblyakov";"3731";"3";"4";"1";"3";"1";"3";"2";"1";"3";"2";"1"
"Moisés Ramírez";"3732";"16";"13";"8";"16";"10";"9";"15";"16";"13";"9";"8"
"Kevin Londoño";"3733";"1";"3";"1";"2";"1";"3";"3";"2";"3";"3";"3"
"Mikael Uhre";"3734";"4";"1";"3";"2";"2";"2";"1";"1";"3";"2";"3"
"Oscar Lewicki";"3735";"1";"1";"1";"3";"3";"3";"1";"3";"3";"3";"2"
"Folarin Balogun";"3736";"2";"1";"4";"3";"1";"3";"3";"2";"2";"2";"1"
"Fabian Rieder";"3737";"2";"1";"1";"1";"1";"4";"2";"2";"4";"3";"2"
"Grigoris Kastanos";"3738";"3";"3";"3";"1";"3";"1";"3";"3";"4";"3";"1"
"Lukas Klünter";"3739";"3";"2";"3";"3";"2";"3";"2";"2";"2";"3";"3"
"Ben Gibson";"3740";"3";"1";"1";"1";"3";"1";"2";"1";"1";"2";"2"
"Lovre Kalinić";"3741";"18";"13";"13";"10";"12";"10";"14";"14";"10";"8";"12"
"Håvard Nielsen";"3742";"2";"3";"2";"1";"1";"3";"3";"2";"3";"3";"3"
"Hamdou Elhouni";"3743";"1";"2";"2";"1";"2";"1";"1";"2";"4";"1";"3"
"Ryan Jack";"3744";"2";"1";"1";"1";"3";"2";"1";"3";"2";"4";"3"
"Jack Butland";"3745";"15";"12";"7";"11";"15";"11";"16";"16";"11";"8";"12"
"Ethan Laird";"3746";"1";"3";"2";"2";"1";"2";"1";"2";"3";"3";"1"
"Gabriel Carabajal";"3747";"3";"2";"3";"3";"1";"3";"1";"3";"2";"4";"3"
"Daniel-Kofi Kyereh";"3748";"2";"1";"3";"3";"2";"2";"2";"3";"3";"4";"2"
"Sebastian Schonlau";"3749";"3";"2";"4";"3";"3";"1";"2";"3";"3";"1";"2"
"Jaden Philogene-Bidace";"3750";"1";"2";"3";"4";"3";"2";"1";"3";"1";"1";"2"
"Dario Špikić";"3751";"2";"3";"3";"1";"3";"3";"2";"1";"3";"4";"1"
"Allan Sousa";"3752";"2";"1";"1";"3";"1";"3";"3";"2";"3";"1";"3"
"John Souttar";"3753";"3";"2";"2";"1";"2";"2";"3";"1";"2";"3";"1"
"John Boye";"3754";"1";"2";"1";"2";"1";"3";"1";"3";"3";"2";"2"
"Julien Laporte";"3755";"3";"3";"3";"3";"2";"1";"1";"1";"1";"3";"4"
"Mbark Boussoufa";"3756";"2";"3";"2";"3";"2";"2";"1";"2";"3";"2";"3"
"Gonzalo Piovi";"3757";"1";"1";"3";"1";"3";"2";"3";"3";"1";"2";"3"
"Roméo Lavia";"3758";"2";"2";"3";"1";"1";"3";"1";"1";"1";"2";"1"
"Miguel Layún";"3759";"3";"3";"1";"3";"1";"3";"3";"1";"1";"1";"3"
"Jesús Dueñas";"3760";"1";"1";"1";"1";"1";"3";"2";"3";"2";"1";"1"
"Elías Hernández";"3761";"1";"1";"1";"2";"1";"2";"3";"1";"1";"3";"3"
"Luis Fuentes";"3762";"2";"3";"2";"3";"1";"3";"1";"3";"1";"3";"1"
"Johan Dahlin";"3763";"14";"14";"15";"7";"14";"13";"14";"13";"13";"10";"13"
"Javier Güemez";"3764";"3";"2";"3";"3";"3";"1";"3";"1";"2";"3";"1"
"Dimitris Siovas";"3765";"1";"2";"3";"2";"2";"1";"3";"1";"2";"1";"1"
"Gallito Vázquez";"3766";"1";"3";"4";"2";"2";"1";"1";"2";"1";"3";"1"
"Lior Refaelov";"3767";"3";"3";"2";"3";"2";"3";"3";"2";"2";"2";"2"
"Manu Sánchez";"3768";"1";"2";"1";"2";"1";"2";"1";"1";"3";"1";"3"
"Flynn Downes";"3769";"1";"3";"3";"2";"3";"2";"1";"2";"1";"3";"1"
"Joaquín Esquivel";"3770";"2";"2";"1";"4";"2";"3";"3";"3";"2";"2";"3"
"Alan Cervantes";"3771";"3";"3";"3";"2";"3";"3";"3";"2";"4";"2";"3"
"Éric Botteghin";"3772";"2";"3";"2";"3";"2";"3";"2";"2";"1";"4";"1"
"Jesús Ricardo Angulo";"3773";"2";"3";"3";"2";"3";"1";"2";"1";"2";"2";"2"
"Julen Agirrezabala";"3774";"14";"12";"12";"5";"12";"10";"13";"15";"8";"9";"12"
"Michel-Ange Balikwisha";"3775";"2";"2";"3";"1";"2";"1";"3";"2";"2";"3";"3"
"Alidu Seidu";"3776";"2";"1";"3";"2";"3";"3";"2";"1";"1";"3";"1"
"Hugo Ekitike";"3777";"3";"3";"3";"1";"1";"2";"1";"2";"3";"1";"2"
"Malo Gusto";"3778";"3";"1";"2";"3";"1";"3";"3";"2";"2";"3";"2"
"Batista Mendy";"3779";"2";"2";"2";"2";"1";"2";"2";"3";"2";"3";"1"
"Lucas Beltrán";"3780";"2";"1";"2";"1";"3";"3";"3";"1";"1";"2";"1"
"Yvann Maçon";"3781";"2";"3";"3";"2";"1";"2";"4";"2";"1";"2";"2"
"Yoann Salmier";"3782";"1";"4";"2";"1";"2";"2";"2";"2";"1";"2";"3"
"Teddy Teuma";"3783";"3";"1";"3";"2";"3";"3";"1";"1";"1";"3";"3"
"Colin Dagba";"3784";"2";"1";"2";"2";"3";"1";"2";"1";"1";"1";"1"
"Ayman Ashraf";"3785";"2";"1";"1";"3";"3";"2";"2";"1";"3";"4";"3"
"Jérémy Mellot";"3786";"2";"3";"1";"2";"3";"1";"4";"3";"1";"1";"1"
"Ismael Sosa";"3787";"1";"3";"2";"2";"3";"3";"3";"2";"3";"1";"3"
"Jean Michaël Séri";"3788";"3";"1";"4";"1";"4";"3";"1";"3";"3";"2";"2"
"Bernard Berisha";"3789";"3";"2";"1";"2";"1";"3";"1";"3";"2";"2";"1"
"Wilson Isidor";"3790";"3";"2";"2";"2";"1";"3";"4";"2";"3";"2";"3"
"Andy Pelmard";"3791";"3";"3";"3";"3";"2";"3";"3";"3";"1";"1";"2"
"Sídnei";"3792";"3";"1";"4";"2";"2";"1";"3";"3";"2";"1";"2"
"Leandro Castellanos";"3793";"13";"15";"13";"5";"12";"12";"13";"13";"11";"9";"13"
"Rodrigo Muñoz";"3794";"12";"12";"13";"6";"14";"15";"9";"13";"8";"14";"13"
"Fábio Santos";"3795";"2";"3";"3";"1";"1";"3";"2";"1";"4";"1";"1"
"Makhtar Guèye";"3796";"1";"1";"1";"3";"3";"3";"1";"3";"3";"2";"3"
"Matías Pérez";"3797";"3";"2";"4";"1";"3";"2";"3";"1";"1";"3";"1"
"Francisco Sierralta";"3798";"3";"1";"2";"2";"2";"1";"2";"3";"1";"1";"3"
"Saulo Decarli";"3799";"2";"1";"1";"1";"1";"2";"2";"2";"3";"3";"2"
"Diego Lainez";"3800";"4";"2";"3";"3";"3";"2";"2";"2";"2";"1";"2"
"José Arnáiz";"3801";"2";"1";"3";"3";"4";"2";"2";"1";"2";"1";"4"
"Alessandro Tuia";"3802";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Ademílson";"3803";"2";"1";"2";"1";"3";"3";"1";"2";"1";"4";"1"
"Salva Sevilla";"3804";"1";"3";"1";"3";"2";"1";"2";"1";"1";"1";"2"
"Íñigo Vicente";"3805";"2";"3";"3";"2";"1";"4";"2";"3";"3";"2";"3"
"Matías Esquivel";"3806";"2";"2";"3";"3";"1";"1";"2";"1";"1";"4";"1"
"Rossi";"3807";"1";"1";"3";"2";"1";"2";"3";"2";"3";"2";"3"
"Iñigo Córdoba";"3808";"2";"2";"2";"2";"4";"1";"1";"1";"2";"3";"1"
"Javi Muñoz";"3809";"3";"2";"1";"4";"2";"3";"3";"2";"2";"1";"3"
"Antonio Barragán";"3810";"2";"1";"1";"1";"3";"1";"1";"1";"3";"4";"2"
"Tinga";"3811";"3";"3";"2";"3";"3";"1";"2";"3";"4";"3";"3"
"Salvi Sánchez";"3812";"2";"2";"1";"2";"3";"3";"3";"1";"1";"1";"2"
"Victor Sá";"3813";"3";"2";"3";"1";"3";"2";"1";"2";"2";"1";"2"
"Kiko Casilla";"3814";"13";"7";"8";"13";"14";"16";"14";"15";"18";"16";"13"
"Paik Seung-Ho";"3815";"2";"2";"2";"2";"1";"1";"3";"1";"2";"1";"2"
"Andrés Herrera";"3816";"1";"3";"1";"2";"3";"2";"2";"1";"3";"3";"1"
"Matt Lowton";"3817";"1";"2";"2";"2";"2";"3";"1";"2";"3";"2";"2"
"Shaq Moore";"3818";"3";"2";"3";"2";"2";"2";"2";"3";"1";"2";"2"
"Léo Cittadini";"3819";"2";"1";"2";"1";"2";"1";"2";"2";"1";"1";"2"
"Keidi Bare";"3820";"1";"1";"3";"3";"1";"1";"3";"1";"3";"3";"1"
"Johan Felipe Vásquez";"3821";"2";"3";"1";"3";"1";"2";"4";"2";"3";"2";"2"
"Salvador Reyes";"3822";"3";"1";"1";"3";"2";"3";"4";"2";"2";"2";"2"
"Robert Ljubičić";"3823";"2";"2";"2";"2";"1";"1";"1";"1";"2";"1";"1"
"Jon Pacheco";"3824";"3";"2";"2";"3";"3";"1";"1";"3";"2";"2";"3"
"Michel Macedo";"3825";"2";"2";"2";"1";"3";"3";"3";"2";"1";"3";"3"
"Róber";"3826";"2";"2";"2";"1";"2";"2";"3";"1";"3";"1";"2"
"Víctor Chust";"3827";"2";"2";"1";"3";"1";"2";"3";"3";"1";"2";"3"
"Titi";"3828";"1";"2";"2";"3";"1";"2";"2";"1";"3";"3";"1"
"Lászlo Bénes";"3829";"2";"1";"2";"1";"3";"3";"3";"1";"1";"2";"1"
"Mujaid Sadick";"3830";"3";"1";"2";"3";"3";"4";"3";"2";"3";"3";"3"
"Michel Vlap";"3831";"1";"1";"2";"1";"2";"3";"3";"4";"4";"3";"1"
"Juan Iglesias";"3832";"2";"2";"2";"2";"4";"1";"1";"2";"1";"1";"3"
"Bingourou Kamara";"3833";"15";"11";"12";"8";"13";"12";"12";"14";"9";"8";"11"
"Enric Franquesa";"3834";"1";"1";"3";"2";"2";"1";"1";"3";"1";"1";"1"
"César";"3835";"13";"13";"14";"5";"14";"11";"14";"13";"14";"12";"15"
"Mark Diemers";"3836";"1";"3";"2";"3";"1";"2";"3";"4";"2";"1";"1"
"Renê Santos";"3837";"3";"1";"1";"2";"1";"3";"1";"3";"3";"3";"2"
"Antonio Blanco";"3838";"4";"3";"1";"1";"3";"1";"2";"2";"2";"3";"3"
"Vincent Sierro";"3839";"2";"2";"3";"3";"2";"2";"3";"1";"2";"2";"3"
"Benjamín Kuscevic";"3840";"2";"4";"1";"3";"1";"1";"2";"2";"2";"2";"1"
"Agustín Urzi";"3841";"1";"2";"2";"2";"2";"3";"1";"1";"3";"2";"3"
"Ramón Ábila";"3842";"3";"4";"1";"2";"1";"3";"2";"3";"2";"1";"1"
"Matúš Bero";"3843";"3";"2";"2";"2";"1";"1";"2";"1";"2";"3";"3"
"Miroslav Káčer";"3844";"1";"2";"4";"2";"1";"2";"3";"1";"4";"3";"4"
"Norbert Gyömber";"3845";"1";"2";"3";"3";"3";"2";"3";"2";"3";"3";"3"
"Ivan Schranz";"3846";"2";"2";"3";"1";"1";"4";"1";"3";"3";"1";"1"
"Lucas Hoyos";"3847";"10";"12";"14";"13";"12";"13";"15";"14";"17";"11";"13"
"Tobias Sippel";"3848";"11";"11";"14";"12";"13";"12";"16";"16";"14";"12";"9"
"Nicolás Reniero";"3849";"4";"1";"3";"3";"1";"1";"4";"4";"3";"1";"3"
"Nahuel Barrios";"3850";"1";"4";"3";"3";"1";"3";"1";"3";"1";"2";"2"
"Diego Braghieri";"3851";"1";"2";"3";"2";"1";"2";"3";"2";"2";"2";"1"
"Lucas Pratto";"3852";"3";"2";"4";"1";"1";"3";"3";"2";"3";"2";"3"
"Facundo Cambeses";"3853";"13";"13";"12";"5";"13";"12";"14";"15";"11";"9";"11"
"Diego Churín";"3854";"1";"3";"3";"3";"1";"4";"1";"1";"3";"2";"3"
"Strahinja Eraković";"3855";"3";"1";"2";"2";"2";"2";"2";"3";"2";"3";"1"
"Diego Perotti";"3856";"2";"2";"3";"3";"3";"1";"1";"1";"4";"2";"2"
"Exequiel Zeballos";"3857";"2";"2";"1";"1";"2";"2";"3";"1";"1";"1";"1"
"Romain Del Castillo";"3858";"2";"1";"3";"3";"1";"1";"2";"4";"1";"1";"2"
"Leandro Fernández";"3859";"2";"3";"1";"1";"2";"3";"3";"3";"2";"3";"2"
"Gabriel Rojas";"3860";"1";"1";"3";"3";"1";"2";"1";"2";"2";"1";"3"
"Filip Helander";"3861";"3";"4";"1";"2";"2";"2";"1";"1";"2";"1";"2"
"Leonardo Jara";"3862";"2";"1";"3";"2";"2";"3";"3";"1";"1";"2";"2"
"Marcelo Benítez";"3863";"2";"3";"1";"4";"1";"3";"1";"1";"3";"1";"1"
"Martín Benítez";"3864";"3";"3";"1";"3";"2";"3";"1";"1";"1";"1";"1"
"Cristian Guanca";"3865";"3";"3";"3";"2";"2";"1";"2";"2";"2";"2";"3"
"Adel Taarabt";"3866";"2";"3";"2";"2";"2";"1";"1";"1";"1";"1";"3"
"Esteban Burgos";"3867";"1";"2";"3";"3";"2";"1";"3";"3";"2";"2";"4"
"Elías Gómez";"3868";"2";"2";"2";"1";"3";"3";"4";"3";"3";"1";"1"
"Víctor Cabrera";"3869";"3";"2";"1";"3";"1";"2";"3";"2";"1";"3";"1"
"Leonel Di Placido";"3870";"1";"1";"1";"3";"2";"1";"2";"4";"1";"2";"3"
"Lebo Mothiba";"3871";"1";"2";"3";"2";"3";"2";"1";"1";"3";"2";"1"
"Robert Berić";"3872";"2";"1";"4";"1";"3";"2";"1";"1";"1";"3";"2"
"Juan Rodríguez";"3873";"1";"4";"3";"3";"3";"2";"3";"1";"3";"2";"2"
"Johan Gastien";"3874";"2";"3";"2";"2";"3";"1";"3";"2";"2";"1";"2"
"Masaya Okugawa";"3875";"1";"2";"4";"2";"2";"3";"1";"3";"2";"1";"3"
"Cristian Lema";"3876";"2";"2";"1";"2";"2";"3";"4";"1";"2";"2";"1"
"Alexander Barboza";"3877";"1";"4";"2";"2";"3";"2";"1";"3";"1";"2";"3"
"Timothée Kolodziejczak";"3878";"1";"3";"1";"2";"1";"4";"3";"2";"1";"1";"1"
"Tomás Pochettino";"3879";"2";"1";"2";"2";"2";"3";"3";"2";"2";"1";"1"
"Roberto Piccoli";"3880";"3";"3";"3";"2";"3";"2";"2";"2";"1";"1";"1"
"Facundo Roncaglia";"3881";"1";"2";"2";"3";"2";"2";"3";"3";"2";"1";"3"
"Ermin Bičakčić";"3882";"1";"2";"1";"2";"1";"3";"3";"2";"1";"4";"3"
"Samuel Grandsir";"3883";"2";"2";"2";"3";"1";"3";"2";"4";"2";"3";"1"
"Benito Raman";"3884";"4";"3";"2";"3";"2";"3";"1";"2";"1";"3";"1"
"Pedro León";"3885";"1";"3";"3";"1";"3";"2";"3";"1";"3";"3";"2"
"Björn Engels";"3886";"1";"2";"3";"3";"3";"1";"1";"2";"1";"2";"3"
"Nemanja Milunović";"3887";"2";"3";"3";"3";"2";"3";"3";"1";"1";"2";"2"
"Thomas Foket";"3888";"3";"3";"1";"1";"3";"3";"1";"3";"2";"2";"3"
"Samuel Bastien";"3889";"3";"1";"1";"2";"4";"2";"2";"3";"3";"2";"2"
"Bill Hamid";"3890";"14";"11";"11";"7";"11";"12";"14";"16";"11";"11";"10"
"Rafael Baca";"3891";"2";"3";"3";"1";"2";"2";"2";"2";"1";"3";"3"
"Dimitri Bisoli";"3892";"2";"1";"2";"2";"4";"4";"2";"3";"2";"2";"3"
"Ruud Vormer";"3893";"2";"2";"3";"4";"1";"2";"3";"2";"3";"4";"2"
"Baba Rahman";"3894";"1";"3";"1";"2";"2";"1";"1";"3";"2";"3";"2"
"Joel Robles";"3895";"16";"16";"12";"8";"15";"15";"15";"15";"12";"11";"14"
"Simone Romagnoli";"3896";"3";"3";"1";"3";"1";"2";"3";"1";"4";"1";"3"
"Jonathan dos Santos";"3897";"3";"3";"2";"2";"2";"1";"3";"2";"2";"3";"2"
"Hamza Barry";"3898";"3";"3";"3";"2";"2";"3";"2";"2";"2";"4";"1"
"Adam Idah";"3899";"3";"1";"1";"2";"1";"1";"3";"1";"2";"1";"4"
"Alessio Castro-Montes";"3900";"2";"3";"1";"2";"3";"1";"4";"2";"1";"1";"2"
"Ilias Chair";"3901";"2";"1";"3";"2";"3";"2";"3";"1";"2";"4";"1"
"Antoine Semenyo";"3902";"1";"2";"3";"2";"2";"3";"4";"3";"1";"3";"3"
"Gélson Dala";"3903";"3";"2";"3";"3";"2";"3";"2";"2";"4";"1";"1"
"Kastriot Imeri";"3904";"1";"2";"3";"1";"1";"2";"3";"2";"1";"3";"3"
"Ezequiel Muñoz";"3905";"3";"1";"3";"4";"3";"2";"3";"1";"3";"3";"1"
"Gabriele Zappa";"3906";"3";"1";"3";"2";"1";"4";"2";"4";"3";"3";"3"
"Mehdi Léris";"3907";"2";"3";"1";"3";"1";"1";"2";"1";"3";"4";"3"
"Chris Löwe";"3908";"2";"3";"2";"3";"2";"3";"1";"1";"2";"3";"1"
"Michael Folorunsho";"3909";"3";"2";"2";"1";"1";"3";"3";"3";"2";"2";"3"
"Jeando Fuchs";"3910";"3";"1";"3";"2";"2";"3";"1";"2";"3";"3";"1"
"Mathias Pereira Lage";"3911";"2";"3";"1";"2";"3";"1";"1";"2";"2";"3";"3"
"Andrea Cistana";"3912";"3";"1";"2";"2";"2";"3";"3";"3";"1";"2";"1"
"Edoardo Goldaniga";"3913";"2";"2";"2";"3";"1";"3";"3";"3";"1";"1";"4"
"Majeed Ashimeru";"3914";"3";"2";"1";"2";"2";"1";"3";"4";"4";"3";"1"
"Rubén Sánchez";"3915";"3";"3";"2";"3";"2";"2";"3";"2";"2";"3";"2"
"Brecht Dejaegere";"3916";"2";"2";"3";"4";"2";"3";"2";"2";"1";"2";"2"
"Ibrahima Bamba";"3917";"2";"3";"1";"1";"2";"3";"2";"2";"2";"1";"4"
"Son Jun-Ho";"3918";"3";"1";"2";"1";"3";"2";"1";"1";"3";"2";"2"
"Uroš Spajić";"3919";"3";"3";"3";"3";"3";"3";"2";"2";"2";"1";"2"
"Uroš Matić";"3920";"1";"2";"2";"3";"3";"1";"3";"3";"4";"3";"1"
"Stefan Strandberg";"3921";"4";"3";"2";"3";"2";"3";"1";"2";"1";"3";"2"
"Filip Stojković";"3922";"2";"2";"2";"1";"3";"1";"3";"3";"2";"3";"1"
"Ramón Sosa";"3923";"1";"3";"2";"3";"1";"1";"2";"1";"1";"2";"3"
"Aleix García";"3924";"2";"3";"3";"3";"1";"2";"3";"2";"2";"3";"3"
"Castello Lukeba";"3925";"1";"2";"2";"4";"1";"2";"1";"3";"1";"3";"3"
"César De la Hoz";"3926";"2";"3";"3";"1";"3";"2";"3";"3";"3";"3";"3"
"Bruno Melo";"3927";"2";"2";"3";"2";"1";"3";"1";"2";"3";"1";"1"
"Juanpi";"3928";"2";"1";"2";"2";"3";"1";"3";"1";"3";"1";"2"
"Enric Gallego";"3929";"3";"2";"1";"1";"1";"2";"1";"1";"2";"1";"3"
"Yorbe Vertessen";"3930";"3";"1";"4";"3";"2";"3";"2";"3";"2";"1";"2"
"Million Manhoef";"3931";"3";"2";"2";"1";"3";"3";"1";"4";"2";"2";"2"
"Agustín Cardozo";"3932";"2";"2";"1";"2";"3";"1";"2";"2";"3";"2";"4"
"Ivan";"3933";"13";"13";"12";"8";"15";"12";"14";"14";"13";"15";"12"
"Jan Paul van Hecke";"3934";"3";"2";"1";"4";"3";"3";"2";"2";"1";"3";"3"
"Billy Sharp";"3935";"3";"2";"1";"3";"2";"4";"3";"3";"1";"3";"2"
"Breno Lopes";"3936";"3";"3";"2";"2";"4";"1";"3";"1";"1";"2";"1"
"Jean Pyerre";"3937";"3";"2";"1";"3";"1";"2";"2";"2";"2";"2";"1"
"Fernando Sobral";"3938";"2";"3";"1";"3";"3";"4";"3";"2";"1";"1";"2"
"Charalampos Lykogiannis";"3939";"3";"1";"4";"1";"1";"3";"2";"2";"1";"3";"2"
"Carlos Rotondi";"3940";"1";"1";"3";"1";"2";"3";"1";"1";"2";"1";"2"
"Cleiton";"3941";"12";"12";"11";"12";"16";"11";"13";"14";"15";"14";"14"
"Vitor Carvalho";"3942";"2";"1";"1";"2";"3";"3";"2";"2";"4";"2";"3"
"Xavi Quintillà";"3943";"3";"2";"1";"1";"3";"3";"1";"1";"2";"1";"4"
"Stoichkov";"3944";"3";"4";"3";"1";"1";"2";"3";"3";"1";"3";"1"
"Carlos Akapo";"3945";"1";"1";"2";"2";"2";"3";"1";"2";"2";"4";"1"
