"Name(ocultar)";"Futbolista_ID";"Nombre";"Apellidos";"Edad";"Posicion";"Nacionalidad 1";"Nacionalidad 2";"Nacionalidad 3";"Fecha de nacimiento";"Equipo";"Sueldo (Semanal)";"Sueldo (mensual)";"Sueldo (Anual)";"Club de Cesion (Solo Jugador cedido)";"Apariciones con la selección nacional";"Goles con la selección nacional"
"Danilho Doekhi";"4098";"Danilho";"Doekhi";"24";"MEDIOCENTRO DEFENSIVO";"Holland";"Suriname";;"30/06/1998";"1. FC Union Berlin";"10000";"40000";"480000";;"0";"0"
"Gabriel Fuentes";"4099";"Gabriel";"Fuentes";"25";"LATERAL";"Colombia";;;"09/02/1997";"Club Deportivo Popular Junior F.C. S.A.";"7276";"29104";"349248";"Zaragoza";"0";"0"
"Jhon Duque";"4100";"Jhon";"Duque";"30";"MEDIOCENTRO DEFENSIVO";"Colombia";;;"04/06/1992";"Atlético Nacional S.A.";"8190";"32760";"393120";;"0";"0"
"Achraf Dari";"4101";"Achraf";"Dari";"23";"DEFENSA CENTRO";"Morocco";;;"06/05/1999";"Stade Brestois 29";"8879";"35516";"426192";;"2";"0"
"Todor Nedelev";"4102";"Todor";"Nedelev";"29";"DELANTERO";"Bulgaria";;;"07/02/1993";"Botev Plovdiv";"2300";"9200";"110400";;"44";"5"
"Lameck Banda";"4103";"Lameck";"Banda";"21";"EXTREMO";"Zambia";;;"29/01/2001";"Salento";"14621";"58484";"701808";;"4";"0"
"Stian Rode Gregersen";"4104";"Stian";"Rode Gregersen";"27";"MEDIOCENTRO DEFENSIVO";"Norway";;;"17/05/1995";"FC Girondins de Bordeaux";"14999";"59996";"719952";;"3";"0"
"Tomás Guidara";"4105";"Tomás";"Guidara";"26";"LATERAL";"Argentina";"Albania";;"13/03/1996";"Club Atlético Vélez Sarsfield";"12293";"49172";"590064";;"0";"0"
"Pablo Santos";"4106";"Pablo";"Santos";"30";"DEFENSA CENTRO";"Brazil";;;"18/03/1992";"Al-Raed Saudi Football Club";"18619";"74476";"893712";;"0";"0"
"Miroslav Bogosavac";"4107";"Miroslav";"Bogosavac";"25";"LATERAL";"Serbia";;;"14/10/1996";"Akhmat Grozny";"5800";"23200";"278400";;"1";"0"
"Jonathan Torres";"4108";"Jonathan";"Torres";"25";"DELANTERO";"Argentina";;;"29/12/1996";"Club Atlético Sarmiento de Junín";"5115";"20460";"245520";;"0";"0"
"Federico Gattoni";"4109";"Federico";"Gattoni";"23";"DEFENSA CENTRO";"Argentina";;;"16/02/1999";"Club Atlético San Lorenzo de Almagro";"3763";"15052";"180624";;"0";"0"
"Riccardo Marchizza";"4110";"Riccardo";"Marchizza";"24";"LATERAL";"Italy";;;"26/03/1998";"U.S. Sassuolo";"17885";"71540";"858480";;"0";"0"
"Fernando Forestieri";"4111";"Fernando";"Forestieri";"32";"EXTREMO";"Italy";"Argentina";;"15/01/1990";"Johor Darul Ta'zim FC";"3292";"13168";"158016";;"0";"0"
"Andrea Favilli";"4112";"Andrea";"Favilli";"25";"DELANTERO";"Italy";;;"17/05/1997";"Genoa CFC";"24903";"99612";"1195344";"Ternana Calcio";"0";"0"
"Dennis Diekmeier";"4113";"Dennis";"Diekmeier";"32";"LATERAL";"Germany";;;"20/10/1989";"SV Sandhausen";"7191";"28764";"345168";;"0";"0"
"Doğukan Sinik";"4114";"Doğukan";"Sinik";"23";"EXTREMO";"Turkey";;;"21/01/1999";"Hull City";"17863";"71452";"857424";;"5";"2"
"Darko Churlinov";"4115";"Darko";"Churlinov";"22";"EXTREMO";"North Macedonia";;;"11/07/2000";"Burnley";"12499";"49996";"599952";;"17";"3"
"José Paradela";"4116";"José";"Paradela";"23";"CENTROCAMPISTA";"Argentina";;;"15/12/1998";"Club Atlético River Plate";"5577";"22308";"267696";;"0";"0"
"Assan Ceesay";"4117";"Assan";"Ceesay";"28";"DELANTERO";"The Gambia";;;"17/03/1994";"Salento";"14621";"58484";"701808";;"32";"13"
"José Rodríguez";"4118";"José";"Rodríguez";"27";"MEDIOCENTRO DEFENSIVO";"Spain";;;"16/12/1994";"Royale Union Saint-Gilloise";"7499";"29996";"359952";;"0";"0"
"Alexander Callens";"4119";"Alexander";"Callens";"30";"LATERAL";"Peru";"Spain";"United States";"04/05/1992";"New York City FC";"14813";"59252";"711024";;"33";"1"
"Aleksandar Pešić";"4120";"Aleksandar";"Pešić";"30";"DELANTERO";"Serbia";;;"21/05/1992";"FK Crvena zvezda Beograd";"11300";"45200";"542400";;"1";"0"
"Alejandro Hohberg";"4121";"Alejandro";"Hohberg";"30";"EXTREMO";"Peru";"Uruguay";;"20/08/1991";"Club Sporting Cristal S.A.";"2548";"10192";"122304";;"3";"0"
"Elliot Anderson";"4122";"Elliot";"Anderson";"19";"EXTREMO";"Scotland";"England";;"06/11/2002";"Newcastle United";"11599";"46396";"556752";;"0";"0"
"Lukas Rupp";"4123";"Lukas";"Rupp";"31";"CENTROCAMPISTA";"Germany";;;"08/01/1991";;;"0";"0";;"0";"0"
"Rodrigo Cabral";"4124";"Rodrigo";"Cabral";"21";"EXTREMO";"Argentina";;;"08/08/2000";"Club Atlético Huracán";"652";"2608";"31296";;"0";"0"
"Jamiro Monteiro";"4125";"Jamiro";"Monteiro";"28";"CENTROCAMPISTA";"Cape Verde Islands";"Holland";;"23/11/1993";"San Jose Earthquakes";"25080";"100320";"1203840";;"24";"2"
"Alberto Grassi";"4126";"Alberto";"Grassi";"27";"MEDIOCENTRO DEFENSIVO";"Italy";;;"07/03/1995";"Parma Calcio 1913";"32018";"128072";"1536864";"Empoli Football Club";"0";"0"
"Youssouf M'Changama";"4127";"Youssouf";"M'Changama";"31";"CENTROCAMPISTA";"Comoros";"France";;"29/08/1990";"AJ Auxerre";"8808";"35232";"422784";;"52";"11"
"Luca Netz";"4128";"Luca";"Netz";"19";"LATERAL";"Germany";;;"15/05/2003";"Borussia Mönchengladbach";"38355";"153420";"1841040";;"0";"0"
"Dominick Drexler";"4129";"Dominick";"Drexler";"32";"EXTREMO";"Germany";;;"26/05/1990";"FC Schalke 04";"25889";"103556";"1242672";;"0";"0"
"Anthony Briançon";"4130";"Anthony";"Briançon";"27";"DEFENSA CENTRO";"France";;;"28/11/1994";"AS Saint-Etienne";"12397";"49588";"595056";;"0";"0"
"Julian Green";"4131";"Julian";"Green";"27";"EXTREMO";"United States";"Germany";;"06/06/1995";"SpVgg Greuther Fürth";"5752";"23008";"276096";;"15";"4"
"Dmitry Chistyakov";"4132";"Dmitry";"Chistyakov";"28";"DEFENSA CENTRO";"Russia";;;"13/01/1994";"Zenit St. Petersburg";"29489";"117956";"1415472";;"4";"0"
"Milton Giménez";"4133";"Milton";"Giménez";"25";"DELANTERO";"Argentina";;;"12/08/1996";"CD Necaxa";"6404";"25616";"307392";;"0";"0"
"Andrew";"4134";"Andrew";"";"21";"PORTERO";"Brazil";;;"01/07/2001";"Gil Vicente Futebol Clube";"1849";"7396";"88752";;"0";"0"
"Mory Diaw";"4135";"Mory";"Diaw";"29";"PORTERO";"Senegal";"France";;"22/06/1993";"Clermont Foot 63";"8739";"34956";"419472";;"0";"0"
"Ron Schallenberg";"4136";"Ron";"Schallenberg";"23";"MEDIOCENTRO DEFENSIVO";"Germany";;;"06/10/1998";"SC Paderborn 07";"1749";"6996";"83952";;"0";"0"
"Soufiane Rahimi";"4137";"Soufiane";"Rahimi";"26";"EXTREMO";"Morocco";;;"02/06/1996";"Al-Ain Football Club";"26900";"107600";"1291200";;"16";"6"
"Kacper Przybyłko";"4138";"Kacper";"Przybyłko";"29";"DELANTERO";"Poland";"Germany";"United States";"25/03/1993";"Chicago Fire FC";"23509";"94036";"1128432";;"0";"0"
"Igor Plastun";"4139";"Igor";"Plastun";"31";"DEFENSA CENTRO";"Ukraine";"Bulgaria";;"20/08/1990";"Ludogorets Razgrad";"8500";"34000";"408000";;"4";"0"
"Stefano Moreo";"4140";"Stefano";"Moreo";"29";"DELANTERO";"Italy";;;"30/06/1993";"Brescia";"13216";"52864";"634368";;"0";"0"
"Patrick de Paula";"4141";"Patrick";"de Paula";"22";"MEDIOCENTRO DEFENSIVO";"Brazil";;;"08/09/1999";"BOT";"7792";"31168";"374016";;"0";"0"
"Abdulaziz Hatem";"4142";"Abdulaziz";"Hatem";"31";"CENTROCAMPISTA";"Qatar";;;"28/10/1990";"Al-Rayyan Sports Club";"28837";"115348";"1384176";;"96";"11"
"Raul Gustavo";"4143";"Raul";"Gustavo";"23";"DEFENSA CENTRO";"Brazil";;;"24/04/1999";"COR";"8357";"33428";"401136";;"0";"0"
"Daniel Ruiz";"4144";"Daniel";"Ruiz";"20";"EXTREMO";"Colombia";;;"30/07/2001";"Azul y Blanco Millonarios Fútbol Club S. A.";"7996";"31984";"383808";;"0";"0"
"Derrick Köhn";"4145";"Derrick";"Köhn";"23";"LATERAL";"Germany";"Ghana";;"04/02/1999";"Hannover 96";"14383";"57532";"690384";;"0";"0"
"Christian Benteke";"4146";"Christian";"Benteke";"31";"DELANTERO";"Belgium";"Democratic Republic of Congo";;"03/12/1990";"D.C. United";"81103";"324412";"3892944";;"45";"18"
"Finn Becker";"4147";"Finn";"Becker";"22";"CENTROCAMPISTA";"Germany";;;"08/06/2000";"TSG Hoffenheim";"4999";"19996";"239952";;"0";"0"
"Florian Hübner";"4148";"Florian";"Hübner";"31";"DEFENSA CENTRO";"Germany";;;"01/03/1991";"1. FC Nürnberg";"16000";"64000";"768000";;"0";"0"
"Yari Verschaeren";"4149";"Yari";"Verschaeren";"21";"EXTREMO";"Belgium";;;"12/07/2001";"RSC Anderlecht";"14499";"57996";"695952";;"7";"1"
"Alexey Ionov";"4150";"Alexey";"Ionov";"33";"EXTREMO";"Russia";;;"18/02/1989";"FC Krasnodar";"35169";"140676";"1688112";;"39";"4"
"Victor Bobsin";"4151";"Victor";"Bobsin";"22";"MEDIOCENTRO DEFENSIVO";"Brazil";"Spain";;"12/01/2000";"Santa Clara Açores Futebol";"3249";"12996";"155952";;"0";"0"
"Nani";"4152";"Nani";"";"35";"EXTREMO";"Portugal";"Cape Verde Islands";;"17/11/1986";"Melbourne Victory";"27650";"110600";"1327200";;"112";"24"
"Alerrandro";"4153";"Alerrandro";"";"22";"DELANTERO";"Brazil";;;"12/01/2000";"BRA";"7680";"30720";"368640";;"0";"0"
"Jeroen Zoet";"4154";"Jeroen";"Zoet";"31";"PORTERO";"Holland";;;"06/01/1991";"Spezia Calcio";"24615";"98460";"1181520";;"11";"0"
"Diego González";"4155";"Diego";"González";"27";"DEFENSA CENTRO";"Spain";;;"28/01/1995";"Elche";"5408";"21632";"259584";;"0";"0"
"Nikola Maksimović";"4156";"Nikola";"Maksimović";"30";"DEFENSA CENTRO";"Serbia";;;"25/11/1991";;;"0";"0";;"25";"0"
"Kevin Gutiérrez";"4157";"Kevin";"Gutiérrez";"25";"MEDIOCENTRO DEFENSIVO";"Argentina";;;"03/06/1997";"Racing Club de Avellaneda";"1160";"4640";"55680";"Club Social y Deportivo Defensa y Justicia";"0";"0"
"Juraj Kucka";"4158";"Juraj";"Kucka";"35";"CENTROCAMPISTA";"Slovakia";;;"26/02/1987";"SK Slovan Bratislava";"2108";"8432";"101184";;"93";"10"
"Osame Sahraoui";"4159";"Osame";"Sahraoui";"21";"EXTREMO";"Norway";"Morocco";;"11/06/2001";"Vålerenga Fotball";"1130";"4520";"54240";;"0";"0"
"Phillip Tietz";"4160";"Phillip";"Tietz";"25";"DELANTERO";"Germany";;;"09/07/1997";"SV Darmstadt 98";"7671";"30684";"368208";;"0";"0"
"Wilfrido De La Rosa";"4161";"Wilfrido";"De La Rosa";"29";"EXTREMO";"Colombia";;;"07/02/1993";"Club Independiente Santa Fe S.A.";"7379";"29516";"354192";;"0";"0"
"Ondřej Lingr";"4162";"Ondřej";"Lingr";"23";"DELANTERO";"Czech Republic";;;"07/10/1998";"Slavia Prague";"4060";"16240";"194880";;"5";"0"
"Joaquín Larrivey";"4163";"Joaquín";"Larrivey";"37";"DELANTERO";"Argentina";"Italy";;"20/08/1984";"Cosenza";"12207";"48828";"585936";;"0";"0"
"Robinho";"4164";"Robinho";"";"34";"EXTREMO";"Brazil";;;"10/11/1987";"CTB";"6810";"27240";"326880";;"0";"0"
"Marquinhos";"4165";"Marquinhos";"";"19";"EXTREMO";"Brazil";;;"07/04/2003";"Arsenal";"34798";"139192";"1670304";;"0";"0"
"Junior Moraes";"4166";"Junior";"Moraes";"35";"DELANTERO";"Ukraine";"Brazil";;"04/04/1987";"COR";"9717";"38868";"466416";;"11";"1"
"Semi Ajayi";"4167";"Semi";"Ajayi";"28";"DEFENSA CENTRO";"Nigeria";"England";;"09/11/1993";"West Bromwich Albion";"17399";"69596";"835152";;"21";"0"
"Rodrigo Riquelme";"4168";"Rodrigo";"Riquelme";"22";"EXTREMO";"Spain";;;"02/04/2000";"A. Madrid";"6759";"27036";"324432";"Girona";"0";"0"
"Manprit Sarkaria";"4169";"Manprit";"Sarkaria";"25";"EXTREMO";"Austria";"India";;"26/08/1996";"Sportklub Sturm Graz";"5363";"21452";"257424";;"0";"0"
"Anderson Carvalho";"4170";"Anderson";"Carvalho";"32";"MEDIOCENTRO DEFENSIVO";"Brazil";;;"29/05/1990";"Santa Clara Açores Futebol";"2850";"11400";"136800";;"0";"0"
"Casper Tengstedt";"4171";"Casper";"Tengstedt";"22";"EXTREMO";"Denmark";;;"01/06/2000";"Rosenborg BK";"2161";"8644";"103728";;"0";"0"
"Yohandry Orozco";"4172";"Yohandry";"Orozco";"31";"EXTREMO";"Venezuela";"Colombia";;"19/03/1991";"Club Deportes Tolima S.A.";"5293";"21172";"254064";;"26";"1"
"Walter";"4173";"Walter";"";"34";"PORTERO";"Brazil";;;"18/11/1987";"CUI";"4858";"19432";"233184";;"0";"0"
"Miguel Baeza";"4174";"Miguel";"Baeza";"22";"EXTREMO";"Spain";;;"27/03/2000";"Vigo";"5724";"22896";"274752";"Rio Ave Futebol Clube";"0";"0"
"Jonathan Menéndez";"4175";"Jonathan";"Menéndez";"28";"EXTREMO";"Argentina";;;"05/03/1994";"Real Salt Lake";"11688";"46752";"561024";"Club Atlético Vélez Sarsfield";"0";"0"
"Juan Espínola";"4176";"Juan";"Espínola";"27";"PORTERO";"Paraguay";;;"02/11/1994";"Club Deportivo Godoy Cruz Antonio Tomba";"5303";"21212";"254544";;"0";"0"
"Loris Benito";"4177";"Loris";"Benito";"30";"LATERAL";"Switzerland";"Spain";;"07/01/1992";"BSC Young Boys";"9913";"39652";"475824";;"13";"1"
"Guillermo Burdisso";"4178";"Guillermo";"Burdisso";"33";"DEFENSA CENTRO";"Argentina";"Italy";;"26/09/1988";"Asociación Deportivo Cali";"8762";"35048";"420576";;"1";"1"
"Lautaro Morales";"4179";"Lautaro";"Morales";"22";"PORTERO";"Argentina";;;"16/12/1999";"Club Atlético Lanús";"2473";"9892";"118704";"Club Atlético Newell's Old Boys";"0";"0"
"Stanislav Iljutcenko";"4180";"Stanislav";"Iljutcenko";"31";"DELANTERO";"Germany";"Russia";;"13/08/1990";"FC Seoul";"5032";"20128";"241536";;"0";"0"
"Sergio Postigo";"4181";"Sergio";"Postigo";"33";"LATERAL";"Spain";;;"04/11/1988";"Levante";"6637";"26548";"318576";;"0";"0"
"Adrián Arregui";"4182";"Adrián";"Arregui";"29";"MEDIOCENTRO DEFENSIVO";"Argentina";;;"12/08/1992";"Deportivo Independiente Medellín S.A.";"7655";"30620";"367440";;"0";"0"
"Cryzan";"4183";"Cryzan";"";"26";"EXTREMO";"Brazil";;;"07/07/1996";"Shandong Taishan";"15384";"61536";"738432";;"0";"0"
"Alef Manga";"4184";"Alef";"Manga";"27";"EXTREMO";"Brazil";;;"29/11/1994";"VRE";"7512";"30048";"360576";"CTB";"0";"0"
"Thomas Didillon";"4185";"Thomas";"Didillon";"26";"PORTERO";"France";;;"28/11/1995";"KSV Cercle Brugge";"14999";"59996";"719952";"AS Monaco";"0";"0"
"Iván Jaime";"4186";"Iván";"Jaime";"21";"EXTREMO";"Spain";;;"26/09/2000";"Futebol Clube de Famalicão";"2950";"11800";"141600";;"0";"0"
"Christian Gytkjær";"4187";"Christian";"Gytkjær";"32";"DELANTERO";"Denmark";;;"06/05/1990";"Brianza";"21537";"86148";"1033776";;"9";"5"
"Darijan Bojanić";"4188";"Darijan";"Bojanić";"27";"CENTROCAMPISTA";"Sweden";"Croatia";"Bosnia and Herzegovina";"28/12/1994";"Hammarby IF";"3261";"13044";"156528";;"2";"0"
"Ashley Barnes";"4189";"Ashley";"Barnes";"32";"DELANTERO";"England";;;"30/10/1989";"Burnley";"31898";"127592";"1531104";;"0";"0"
"Bruno Pacheco";"4190";"Bruno";"Pacheco";"30";"LATERAL";"Brazil";;;"08/12/1991";"CEA";"32032";"128128";"1537536";;"0";"0"
"Jan Gyamerah";"4191";"Jan";"Gyamerah";"27";"LATERAL";"Germany";"Ghana";;"18/06/1995";"1. FC Nürnberg";"10547";"42188";"506256";;"0";"0"
"Justo Giani";"4192";"Justo";"Giani";"23";"EXTREMO";"Argentina";"Italy";;"07/04/1999";"Club Atlético Newell's Old Boys";"6744";"26976";"323712";"Club Atlético Patronato de la Juventud Católica";"0";"0"
"Jérôme Onguéné";"4193";"Jérôme";"Onguéné";"24";"DEFENSA CENTRO";"Cameroon";"France";;"22/12/1997";"Eintracht Frankfurt";"7691";"30764";"369168";;"10";"0"
"Steven Davis";"4194";"Steven";"Davis";"37";"CENTROCAMPISTA";"Northern Ireland";;;"01/01/1985";"Rangers";"11599";"46396";"556752";;"138";"13"
"Victor Kristiansen";"4195";"Victor";"Kristiansen";"19";"LATERAL";"Denmark";;;"16/12/2002";"Football Club København";"3360";"13440";"161280";;"0";"0"
"Haret Ortega";"4196";"Haret";"Ortega";"22";"DEFENSA CENTRO";"Mexico";;;"19/05/2000";"Deportivo Toluca";"10923";"43692";"524304";;"0";"0"
"Pablo Maia";"4197";"Pablo";"Maia";"20";"MEDIOCENTRO DEFENSIVO";"Brazil";;;"10/01/2002";"SPO";"8019";"32076";"384912";;"0";"0"
"Francisco da Costa";"4198";"Francisco";"da Costa";"27";"DELANTERO";"Brazil";;;"05/05/1995";"Club Bolívar";"2016";"8064";"96768";;"0";"0"
"Cristian Ansaldi";"4199";"Cristian";"Ansaldi";"35";"LATERAL";"Argentina";"Italy";;"20/09/1986";"Parma Calcio 1913";"35577";"142308";"1707696";;"5";"1"
"Jorge Pombo";"4200";"Jorge";"Pombo";"28";"EXTREMO";"Spain";;;"22/02/1994";"R. Santander";"5776";"23104";"277248";;"0";"0"
"Jesse Joronen";"4201";"Jesse";"Joronen";"29";"PORTERO";"Finland";;;"21/03/1993";"Venezia Football Club";"17787";"71148";"853776";;"16";"0"
"Rafael Cabral";"4202";"Rafael";"Cabral";"32";"PORTERO";"Brazil";"Portugal";;"20/05/1990";"CEC";"8513";"34052";"408624";;"3";"0"
"Mattia Bottani";"4203";"Mattia";"Bottani";"31";"EXTREMO";"Switzerland";"Italy";;"24/05/1991";"FC Lugano";"5199";"20796";"249552";;"1";"0"
"Kasim Adams";"4204";"Kasim";"Adams";"27";"DEFENSA CENTRO";"Ghana";;;"22/06/1995";"TSG Hoffenheim";"22998";"91992";"1103904";"FC Basel 1893";"13";"2"
"Facundo Garcés";"4205";"Facundo";"Garcés";"22";"DEFENSA CENTRO";"Argentina";;;"05/09/1999";"Club Atlético Colón de Santa Fe";"3947";"15788";"189456";;"0";"0"
"Stefan Ilsanker";"4206";"Stefan";"Ilsanker";"33";"DEFENSA CENTRO";"Austria";;;"18/05/1989";"Genoa CFC";"29999";"119996";"1439952";;"61";"0"
"Romain Amalfitano";"4207";"Romain";"Amalfitano";"32";"CENTROCAMPISTA";"France";"Italy";;"27/08/1989";"Western Sydney Wanderers FC";"2333";"9332";"111984";;"0";"0"
"Dániel Gazdag";"4208";"Dániel";"Gazdag";"26";"CENTROCAMPISTA";"Hungary";;;"02/03/1996";"Philadelphia Union";"11367";"45468";"545616";;"15";"4"
"Ryan Porteous";"4209";"Ryan";"Porteous";"23";"DEFENSA CENTRO";"Scotland";;;"25/03/1999";"Hibernian";"2900";"11600";"139200";;"0";"0"
"Paulão";"4210";"Paulão";"";"36";"DEFENSA CENTRO";"Brazil";;;"25/02/1986";"CUI";"3131";"12524";"150288";;"0";"0"
"Adam Andersson";"4211";"Adam";"Andersson";"25";"LATERAL";"Sweden";;;"11/11/1996";"Rosenborg BK";"3782";"15128";"181536";"Randers Football Club";"4";"0"
"Jordi Mboula";"4212";"Jordi";"Mboula";"23";"EXTREMO";"Spain";"Congo";;"16/03/1999";"Mallorca";"11627";"46508";"558096";"R. Santander";"0";"0"
"Rodrigo Soares";"4213";"Rodrigo";"Soares";"29";"LATERAL";"Brazil";;;"26/12/1992";"JUV";"6810";"27240";"326880";;"0";"0"
"Gerónimo Poblete";"4214";"Gerónimo";"Poblete";"29";"MEDIOCENTRO DEFENSIVO";"Argentina";"Chile";;"02/01/1993";"Al-Wasl Football Club";"25595";"102380";"1228560";;"0";"0"
"Kirian";"4215";"Kirian";"";"26";"CENTROCAMPISTA";"Spain";;;"05/03/1996";"Las Palmas";"3653";"14612";"175344";;"0";"0"
"Saman Ghoddos";"4216";"Saman";"Ghoddos";"28";"EXTREMO";"Iran";"Sweden";;"06/09/1993";"Brentford";"34798";"139192";"1670304";;"31";"2"
"Jonas Lössl";"4217";"Jonas";"Lössl";"33";"PORTERO";"Denmark";;;"01/02/1989";"Football Club Midtjylland";"5377";"21508";"258096";;"1";"0"
"David Juncà";"4218";"David";"Juncà";"28";"LATERAL";"Spain";;;"16/11/1993";;;"0";"0";;"0";"0"
"Jere Uronen";"4219";"Jere";"Uronen";"28";"LATERAL";"Finland";;;"13/07/1994";"Stade Brestois 29";"18000";"72000";"864000";;"60";"1"
"Gabriel Alanís";"4220";"Gabriel";"Alanís";"28";"EXTREMO";"Argentina";;;"16/03/1994";"Club Deportivo Godoy Cruz Antonio Tomba";"3656";"14624";"175488";"Club Social y Deportivo Defensa y Justicia";"0";"0"
"Maxi Rodríguez";"4221";"Maxi";"Rodríguez";"41";"EXTREMO";"Argentina";"Italy";;"02/01/1981";"Hughes Foot Ball Club";"13764";"55056";"660672";;"57";"16"
"Thomas Goiginger";"4222";"Thomas";"Goiginger";"29";"EXTREMO";"Austria";;;"15/03/1993";"Linzer Athletik-Sport-Klub";"5336";"21344";"256128";;"1";"0"
"Dan Ndoye";"4223";"Dan";"Ndoye";"21";"EXTREMO";"Switzerland";"Senegal";;"25/10/2000";"FC Basel 1893";"6136";"24544";"294528";;"0";"0"
"Lázaro";"4224";"Lázaro";"";"20";"EXTREMO";"Brazil";;;"12/03/2002";"Almería";"5434";"21736";"260832";;"0";"0"
"Pablo Rojas";"4225";"Pablo";"Rojas";"30";"EXTREMO";"Colombia";;;"23/09/1991";"Jaguares de Córdoba Fútbol Club S.A.";"6468";"25872";"310464";;"0";"0"
"Joakim Nilsson";"4226";"Joakim";"Nilsson";"28";"DEFENSA CENTRO";"Sweden";;;"06/02/1994";"St. Louis City SC";"21914";"87656";"1051872";;"14";"0"
"Douglas Tanque";"4227";"Douglas";"Tanque";"28";"DELANTERO";"Brazil";;;"27/10/1993";"Samsunspor";"12499";"49996";"599952";;"0";"0"
"Jakub Kamiński";"4228";"Jakub";"Kamiński";"20";"EXTREMO";"Poland";;;"05/06/2002";"VfL Wolfsburg";"19177";"76708";"920496";;"3";"1"
"Darian Maleš";"4229";"Darian";"Maleš";"21";"DELANTERO";"Switzerland";"Serbia";;"03/05/2001";"FC Internazionale Milano";"8745";"34980";"419760";"FC Basel 1893";"0";"0"
"Renato Ibarra";"4230";"Renato";"Ibarra";"31";"EXTREMO";"Ecuador";;;"20/01/1991";"Xoloitzcuintles de Tijuana";"10251";"41004";"492048";;"49";"1"
"Yann Karamoh";"4231";"Yann";"Karamoh";"24";"EXTREMO";"France";"Ivory Coast";;"08/07/1998";"Torino";"42692";"170768";"2049216";;"0";"0"
"Rasmus Lauritsen";"4232";"Rasmus";"Lauritsen";"26";"DEFENSA CENTRO";"Denmark";;;"27/02/1996";"GNK Dinamo Zagreb";"7671";"30684";"368208";;"0";"0"
"Nahuel Ferraresi";"4233";"Nahuel";"Ferraresi";"23";"LATERAL";"Venezuela";"Argentina";;"19/11/1998";"Montevideo City Torque";"1276";"5104";"61248";"SPO";"19";"1"
"Dener";"4234";"Dener";"";"30";"CENTROCAMPISTA";"Brazil";"Portugal";;"13/03/1992";"Al-Tai Football Club";"11956";"47824";"573888";;"0";"0"
"Marcelo Cirino";"4235";"Marcelo";"Cirino";"30";"EXTREMO";"Brazil";;;"22/01/1992";"ATP";"7906";"31624";"379488";;"0";"0"
"Isaac Kiese Thelin";"4236";"Isaac";"Kiese Thelin";"30";"DELANTERO";"Sweden";"Democratic Republic of Congo";;"24/06/1992";"Malmö FF";"5125";"20500";"246000";;"31";"4"
"Matías Kranevitter";"4237";"Matías";"Kranevitter";"29";"MEDIOCENTRO DEFENSIVO";"Argentina";"Italy";;"21/05/1993";"CF Monterrey";"14072";"56288";"675456";;"8";"0"
"Matías Catalán";"4238";"Matías";"Catalán";"29";"LATERAL";"Argentina";"Chile";;"19/08/1992";"Club Atlético Talleres de Córdoba";"8319";"33276";"399312";;"0";"0"
"Miguel De la Fuente";"4239";"Miguel";"De la Fuente";"22";"DELANTERO";"Spain";;;"03/09/1999";"Alavés";"3068";"12272";"147264";;"0";"0"
"Messias";"4240";"Messias";"";"27";"DEFENSA CENTRO";"Brazil";;;"03/11/1994";"CEA";"8945";"35780";"429360";;"0";"0"
"Timothé Cognat";"4241";"Timothé";"Cognat";"24";"CENTROCAMPISTA";"France";;;"25/01/1998";"Servette FC";"1180";"4720";"56640";;"0";"0"
"Mario Suárez";"4242";"Mario";"Suárez";"35";"MEDIOCENTRO DEFENSIVO";"Spain";;;"24/02/1987";"Vallecano";"5408";"21632";"259584";;"3";"0"
"Felipe Azevedo";"4243";"Felipe";"Azevedo";"35";"EXTREMO";"Brazil";"Italy";;"10/01/1987";"AMG";"7001";"28004";"336048";;"0";"0"
"Abel Luciatti";"4244";"Abel";"Luciatti";"29";"DEFENSA CENTRO";"Argentina";;;"18/03/1993";"Club Atlético Tigre";"5397";"21588";"259056";;"0";"0"
"Igor Rossi";"4245";"Igor";"Rossi";"33";"LATERAL";"Brazil";"Italy";;"10/03/1989";"Al-Ittihad Kalba Sports & Cultural Club";"18762";"75048";"900576";;"0";"0"
"Oliver Abildgaard";"4246";"Oliver";"Abildgaard";"26";"MEDIOCENTRO DEFENSIVO";"Denmark";;;"10/06/1996";"Rubin Kazan";"18000";"72000";"864000";"Celtic";"1";"0"
"Ciprian Deac";"4247";"Ciprian";"Deac";"36";"EXTREMO";"Romania";;;"16/02/1986";"FC CFR 1907 Cluj";"3883";"15532";"186384";;"26";"4"
"Alberto Guitián";"4248";"Alberto";"Guitián";"31";"DEFENSA CENTRO";"Spain";;;"29/07/1990";"Club Bolívar";"1528";"6112";"73344";;"0";"0"
"Saïf-Eddine Khaoui";"4249";"Saïf-Eddine";"Khaoui";"27";"DELANTERO";"Tunisia";"France";;"27/04/1995";"Clermont Foot 63";"5999";"23996";"287952";;"27";"4"
"Juan Manuel García";"4250";"Juan";"Manuel García";"29";"DELANTERO";"Argentina";;;"14/11/1992";"Club Atlético Newell's Old Boys";"6744";"26976";"323712";;"0";"0"
"Fabián Noguera";"4251";"Fabián";"Noguera";"29";"DEFENSA CENTRO";"Argentina";;;"20/03/1993";"Club Estudiantes de La Plata";"6966";"27864";"334368";;"0";"0"
"Alexis Castro";"4252";"Alexis";"Castro";"27";"EXTREMO";"Argentina";;;"18/10/1994";"Club Atlético Tigre";"8730";"34920";"419040";;"0";"0"
